component_id,score_date,country_code,currency_code,theme,canonical_name,raw_signal,direction,weight,directional_signal,weighted_signal,notes,processed_at
1,2020-01-17,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
2,2020-01-17,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
3,2020-01-20,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
4,2020-01-20,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
5,2020-01-21,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
6,2020-01-21,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
7,2020-01-22,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
8,2020-01-22,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
9,2020-01-23,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
10,2020-01-23,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
11,2020-01-23,AU,AUD,Growth,composite_pmi,-1.000000,1,2.0000,-1.000000,-2.000000,Composite PMI,2026-05-03T20:30:00.072964+00:00
