ranking_id,date,currency,country_code,cb_strength_score,cb_pressure_normalized,strength_label,trend_label,confidence,rank_strongest,rank_weakest,percentile_rank,processed_at
1,2020-01-17,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T20:30:00.072964+00:00
2,2020-01-20,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T20:30:00.072964+00:00
3,2020-01-21,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T20:30:00.072964+00:00
4,2020-01-22,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T20:30:00.072964+00:00
5,2020-01-23,AUD,AU,-0.707107,-1.000000,mild_weak,flat,low,2,1,0.000000,2026-05-03T20:30:00.072964+00:00
6,2020-01-23,EUR,EU,0.707107,0.000000,mild_strong,flat,low,1,2,1.000000,2026-05-03T20:30:00.072964+00:00
7,2020-01-24,AUD,AU,-0.904373,-1.000000,mild_weak,flat,low,3,1,0.000000,2026-05-03T20:30:00.072964+00:00
8,2020-01-24,EUR,EU,-0.169570,0.300000,neutral,flat,medium,2,2,0.500000,2026-05-03T20:30:00.072964+00:00
9,2020-01-24,JPY,JP,1.073943,2.500000,strong,flat,low,1,3,1.000000,2026-05-03T20:30:00.072964+00:00
10,2020-01-29,AUD,AU,-0.904373,-1.000000,mild_weak,flat,low,3,1,0.000000,2026-05-03T20:30:00.072964+00:00
11,2020-01-29,EUR,EU,-0.169570,0.300000,neutral,flat,medium,2,2,0.500000,2026-05-03T20:30:00.072964+00:00
12,2020-01-29,JPY,JP,1.073943,2.500000,strong,flat,low,1,3,1.000000,2026-05-03T20:30:00.072964+00:00
13,2020-01-30,AUD,AU,-1.116946,-1.000000,weak,flat,low,3,1,0.000000,2026-05-03T20:30:00.072964+00:00
14,2020-01-30,EUR,EU,0.304850,0.288889,neutral,flat,medium,2,2,0.500000,2026-05-03T20:30:00.072964+00:00
15,2020-01-30,JPY,JP,0.812095,0.748718,mild_strong,flat,medium,1,3,1.000000,2026-05-03T20:30:00.072964+00:00
16,2020-01-31,AUD,AU,-1.108470,-1.000000,weak,flat,low,3,1,0.000000,2026-05-03T20:30:00.072964+00:00
17,2020-01-31,EUR,EU,0.274110,0.244444,neutral,flat,medium,2,2,0.500000,2026-05-03T20:30:00.072964+00:00
18,2020-01-31,JPY,JP,0.834360,0.748718,mild_strong,flat,medium,1,3,1.000000,2026-05-03T20:30:00.072964+00:00
19,2020-02-03,AUD,AU,-1.081633,-1.000000,weak,flat,low,3,1,0.000000,2026-05-03T20:30:00.072964+00:00
20,2020-02-03,EUR,EU,0.190742,0.128009,neutral,flat,medium,2,2,0.500000,2026-05-03T20:30:00.072964+00:00
21,2020-02-03,JPY,JP,0.890891,0.748718,mild_strong,flat,medium,1,3,1.000000,2026-05-03T20:30:00.072964+00:00
