score_id,date,country_code,currency,inflation_score,labor_score,growth_score,inflation_contributors,labor_contributors,growth_contributors,inflation_weight,labor_weight,growth_weight,mandate_type,cb_pressure_normalized,cb_strength_score,direction_score,strength_label,trend_label,confidence,categories_available,total_contributors,processed_at
1,2020-01-23,AU,AUD,,,-1.000000,0,0,1,1.5000,1.0000,0.5000,dual,-1.000000,-0.707107,,mild_weak,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
2,2020-01-24,AU,AUD,,,-1.000000,0,0,1,1.5000,1.0000,0.5000,dual,-1.000000,-0.904373,,mild_weak,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
3,2020-01-29,AU,AUD,,,-1.000000,0,0,1,1.5000,1.0000,0.5000,dual,-1.000000,-0.904373,,mild_weak,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
4,2020-01-30,AU,AUD,,,-1.000000,0,0,1,1.5000,1.0000,0.5000,dual,-1.000000,-1.116946,,weak,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
5,2020-01-31,AU,AUD,,,-1.000000,0,0,1,1.5000,1.0000,0.5000,dual,-1.000000,-1.108470,,weak,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
6,2020-02-03,AU,AUD,,,-1.000000,0,0,1,1.5000,1.0000,0.5000,dual,-1.000000,-1.081633,,weak,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
7,2020-02-04,AU,AUD,,,1.555635,0,0,1,1.5000,1.0000,0.5000,dual,1.555635,1.040531,,strong,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
8,2020-02-05,AU,AUD,,,1.555635,0,0,1,1.5000,1.0000,0.5000,dual,1.555635,1.150333,,strong,flat,low,1,1,2026-05-03T20:30:00.072964+00:00
9,2020-02-06,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.816782,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
10,2020-02-07,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.578641,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
11,2020-02-10,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.484960,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
12,2020-02-11,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.559052,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
13,2020-02-14,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.602951,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
14,2020-02-16,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.602951,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
15,2020-02-17,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.556500,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
16,2020-02-18,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.463773,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
17,2020-02-19,AU,AUD,,,0.077818,0,0,2,1.5000,1.0000,0.5000,dual,0.077818,-0.593656,,mild_weak,flat,low,1,2,2026-05-03T20:30:00.072964+00:00
18,2020-02-20,AU,AUD,,-6.280000,-1.421688,0,2,2,1.5000,1.0000,0.5000,dual,-4.660563,-2.013377,,weak,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
19,2020-02-21,AU,AUD,,-6.280000,-1.421688,0,2,2,1.5000,1.0000,0.5000,dual,-4.660563,-1.988505,,weak,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
20,2020-02-26,AU,AUD,,-6.280000,-1.421688,0,2,2,1.5000,1.0000,0.5000,dual,-4.660563,0.365810,,mild_strong,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
21,2020-02-27,AU,AUD,,-6.280000,-1.421688,0,2,2,1.5000,1.0000,0.5000,dual,-4.660563,0.340807,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
22,2020-02-28,AU,AUD,,-6.280000,-1.421688,0,2,2,1.5000,1.0000,0.5000,dual,-4.660563,0.341693,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
23,2020-03-02,AU,AUD,,-6.280000,-1.421688,0,2,2,1.5000,1.0000,0.5000,dual,-4.660563,0.341753,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
24,2020-03-03,AU,AUD,,-6.280000,-0.799340,0,2,2,1.5000,1.0000,0.5000,dual,-4.453113,0.343833,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
25,2020-03-04,AU,AUD,,-6.280000,-0.799340,0,2,2,1.5000,1.0000,0.5000,dual,-4.453113,0.343743,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
26,2020-03-06,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.346759,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
27,2020-03-08,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.346676,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
28,2020-03-09,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.346547,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
29,2020-03-10,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.346547,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
30,2020-03-11,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.346547,,neutral,flat,medium,2,4,2026-05-03T20:30:00.072964+00:00
31,2020-03-16,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.347488,-3.303959,neutral,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
32,2020-03-17,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.347743,-3.303959,neutral,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
33,2020-03-18,AU,AUD,,-6.280000,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,-4.303959,0.350034,-3.303959,mild_strong,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
34,2020-03-19,AU,AUD,,0.626295,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,0.300237,0.384642,1.300237,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
35,2020-03-20,AU,AUD,,0.626295,-0.351878,0,2,2,1.5000,1.0000,0.5000,dual,0.300237,0.384666,1.300237,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
36,2020-03-23,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,0.371157,-0.501085,mild_strong,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
37,2020-03-24,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,-0.789114,-3.056720,mild_weak,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
38,2020-03-25,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,-0.799868,-3.056720,mild_weak,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
39,2020-03-26,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,-0.682360,-1.578903,mild_weak,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
40,2020-03-27,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,-0.682360,-1.578903,mild_weak,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
41,2020-03-30,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,-0.677727,-1.578903,mild_weak,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
42,2020-03-31,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,0.333636,-1.578903,neutral,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
43,2020-04-01,AU,AUD,,0.626295,-5.755846,0,2,2,1.5000,1.0000,0.5000,dual,-1.501085,0.327967,-1.578903,neutral,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
44,2020-04-02,AU,AUD,,0.626295,-1.301979,0,2,2,1.5000,1.0000,0.5000,dual,-0.016463,0.486903,-0.094281,mild_strong,weakening,medium,2,4,2026-05-03T20:30:00.072964+00:00
45,2020-04-03,AU,AUD,,0.626295,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,0.170435,0.388415,0.092617,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
46,2020-04-07,AU,AUD,,0.626295,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,0.170435,0.389931,0.092617,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
47,2020-04-09,AU,AUD,,0.626295,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,0.170435,0.434997,0.092617,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
48,2020-04-10,AU,AUD,,0.626295,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,0.170435,0.546471,4.830998,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
49,2020-04-15,AU,AUD,,0.626295,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,0.170435,0.576913,4.830998,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
50,2020-04-16,AU,AUD,,-0.996026,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,-0.911112,0.556514,3.749451,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
51,2020-04-17,AU,AUD,,-0.996026,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,-0.911112,0.552397,3.749451,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
52,2020-04-19,AU,AUD,,-0.996026,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,-0.911112,0.490483,3.749451,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
53,2020-04-21,AU,AUD,,-0.996026,-0.741283,0,2,2,1.5000,1.0000,0.5000,dual,-0.911112,0.491875,3.749451,mild_strong,improving,medium,2,4,2026-05-03T20:30:00.072964+00:00
