score_id,date,country_code,currency,window_months,inflation_score,labor_score,growth_score,inflation_weight,labor_weight,growth_weight,mandate_type,cb_pressure_raw,cb_pressure_normalized,cb_strength_score,direction_score,strength_label,trend_label,confidence,categories_available,no_lookahead,processed_at
1,2020-01-17,EU,EUR,1,0.000000,,,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
2,2020-01-17,EU,EUR,2,0.000000,,,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
3,2020-01-17,EU,EUR,3,0.000000,,,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
4,2020-01-21,EU,EUR,1,0.000000,,,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
5,2020-01-21,EU,EUR,2,0.000000,,,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
6,2020-01-21,EU,EUR,3,0.000000,,,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
7,2020-01-23,EU,EUR,1,0.000000,,0.000000,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.558547,0.000000,mild_strong,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
8,2020-01-23,AU,AUD,1,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-1.154499,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
9,2020-01-23,JP,JPY,1,,,0.002956,1.8000,0.5000,0.8000,dual,0.002365,0.000763,0.595951,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
10,2020-01-23,EU,EUR,2,0.000000,,0.000000,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.558547,0.000000,mild_strong,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
11,2020-01-23,JP,JPY,2,,,0.002956,1.8000,0.5000,0.8000,dual,0.002365,0.000763,0.595951,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
12,2020-01-23,AU,AUD,2,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-1.154499,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
13,2020-01-23,EU,EUR,3,0.000000,,0.000000,2.0000,0.5000,0.5000,single,0.000000,0.000000,0.558547,0.000000,mild_strong,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
14,2020-01-23,AU,AUD,3,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-1.154499,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
15,2020-01-23,JP,JPY,3,,,0.002956,1.8000,0.5000,0.8000,dual,0.002365,0.000763,0.595951,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
16,2020-01-24,EU,EUR,1,-0.012090,,0.128716,2.0000,0.5000,0.5000,single,0.040178,0.013393,-0.707107,0.000000,mild_weak,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
17,2020-01-24,JP,JPY,1,,,0.066049,1.8000,0.5000,0.8000,dual,0.052839,0.017045,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
18,2020-01-24,JP,JPY,2,,,0.066049,1.8000,0.5000,0.8000,dual,0.052839,0.017045,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
19,2020-01-24,EU,EUR,2,-0.012090,,0.128716,2.0000,0.5000,0.5000,single,0.040178,0.013393,-0.707107,0.000000,mild_weak,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
20,2020-01-24,EU,EUR,3,-0.012090,,0.128716,2.0000,0.5000,0.5000,single,0.040178,0.013393,-0.707107,0.000000,mild_weak,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
21,2020-01-24,JP,JPY,3,,,0.066049,1.8000,0.5000,0.8000,dual,0.052839,0.017045,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
22,2020-01-28,AU,AUD,1,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
23,2020-01-28,AU,AUD,2,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
24,2020-01-28,AU,AUD,3,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
25,2020-01-29,JP,JPY,1,,,0.087080,1.8000,0.5000,0.8000,dual,0.069664,0.022472,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
26,2020-01-29,AU,AUD,1,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-0.707107,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
27,2020-01-29,AU,AUD,2,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-0.707107,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
28,2020-01-29,JP,JPY,2,,,0.087080,1.8000,0.5000,0.8000,dual,0.069664,0.022472,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
29,2020-01-29,AU,AUD,3,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-0.707107,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
30,2020-01-29,JP,JPY,3,,,0.087080,1.8000,0.5000,0.8000,dual,0.069664,0.022472,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
31,2020-01-30,JP,JPY,1,,,0.174615,1.8000,0.5000,0.8000,dual,0.139692,0.045062,0.904563,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
32,2020-01-30,EU,EUR,1,-0.017294,0.100000,0.061150,2.0000,0.5000,0.5000,single,0.045988,0.015329,0.169269,0.000000,neutral,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
33,2020-01-30,AU,AUD,1,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-1.073832,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
34,2020-01-30,EU,EUR,2,-0.017294,0.100000,0.061150,2.0000,0.5000,0.5000,single,0.045988,0.015329,0.169269,0.000000,neutral,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
35,2020-01-30,AU,AUD,2,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-1.073832,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
36,2020-01-30,JP,JPY,2,,,0.174615,1.8000,0.5000,0.8000,dual,0.139692,0.045062,0.904563,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
37,2020-01-30,AU,AUD,3,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-1.073832,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
38,2020-01-30,JP,JPY,3,,,0.174615,1.8000,0.5000,0.8000,dual,0.139692,0.045062,0.904563,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
39,2020-01-30,EU,EUR,3,-0.017294,0.100000,0.061150,2.0000,0.5000,0.5000,single,0.045988,0.015329,0.169269,0.000000,neutral,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
40,2020-01-31,EU,EUR,1,-0.010419,0.100000,0.027368,2.0000,0.5000,0.5000,single,0.042846,0.014282,1.082234,0.000000,strong,flat,medium,3,True,2026-05-03T19:58:36.884106+00:00
41,2020-01-31,AU,AUD,1,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-0.192437,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
42,2020-01-31,CA,CAD,1,-0.103107,,,1.8000,0.7000,0.5000,inflation,-0.185593,-0.061864,-0.889797,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
43,2020-01-31,AU,AUD,2,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-0.192437,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
44,2020-01-31,CA,CAD,2,-0.103107,,,1.8000,0.7000,0.5000,inflation,-0.185593,-0.061864,-0.889797,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
45,2020-01-31,EU,EUR,2,-0.010419,0.100000,0.027368,2.0000,0.5000,0.5000,single,0.042846,0.014282,1.082234,0.000000,strong,flat,medium,3,True,2026-05-03T19:58:36.884106+00:00
46,2020-01-31,EU,EUR,3,-0.010419,0.100000,0.027368,2.0000,0.5000,0.5000,single,0.042846,0.014282,1.082234,0.000000,strong,flat,medium,3,True,2026-05-03T19:58:36.884106+00:00
47,2020-01-31,CA,CAD,3,-0.103107,,,1.8000,0.7000,0.5000,inflation,-0.185593,-0.061864,-0.889797,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
48,2020-01-31,AU,AUD,3,-0.069874,,,1.5000,1.0000,0.5000,dual,-0.104811,-0.034937,-0.192437,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
49,2020-02-02,AU,AUD,1,-0.138538,,,1.5000,1.0000,0.5000,dual,-0.207806,-0.069269,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
50,2020-02-02,AU,AUD,2,-0.138538,,,1.5000,1.0000,0.5000,dual,-0.207806,-0.069269,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
51,2020-02-02,AU,AUD,3,-0.138538,,,1.5000,1.0000,0.5000,dual,-0.207806,-0.069269,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
52,2020-02-03,JP,JPY,1,,,0.227136,1.8000,0.5000,0.8000,dual,0.181708,0.058616,0.930856,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
53,2020-02-03,EU,EUR,1,-0.002291,0.100000,-0.016882,2.0000,0.5000,0.5000,single,0.036977,0.012326,0.126289,0.000000,neutral,flat,medium,3,True,2026-05-03T19:58:36.884106+00:00
54,2020-02-03,AU,AUD,1,-0.111523,,,1.5000,1.0000,0.5000,dual,-0.167285,-0.055762,-1.057146,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
55,2020-02-03,EU,EUR,2,-0.002291,0.100000,-0.016882,2.0000,0.5000,0.5000,single,0.036977,0.012326,0.126289,0.000000,neutral,flat,medium,3,True,2026-05-03T19:58:36.884106+00:00
56,2020-02-03,AU,AUD,2,-0.111523,,,1.5000,1.0000,0.5000,dual,-0.167285,-0.055762,-1.057146,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
57,2020-02-03,JP,JPY,2,,,0.227136,1.8000,0.5000,0.8000,dual,0.181708,0.058616,0.930856,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
58,2020-02-03,EU,EUR,3,-0.002291,0.100000,-0.016882,2.0000,0.5000,0.5000,single,0.036977,0.012326,0.126289,0.000000,neutral,flat,medium,3,True,2026-05-03T19:58:36.884106+00:00
59,2020-02-03,AU,AUD,3,-0.111523,,,1.5000,1.0000,0.5000,dual,-0.167285,-0.055762,-1.057146,0.000000,weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
60,2020-02-03,JP,JPY,3,,,0.227136,1.8000,0.5000,0.8000,dual,0.181708,0.058616,0.930856,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
61,2020-02-04,AU,AUD,1,-0.063959,,,1.5000,1.0000,0.5000,dual,-0.095938,-0.031979,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
62,2020-02-04,AU,AUD,2,-0.063959,,,1.5000,1.0000,0.5000,dual,-0.095938,-0.031979,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
63,2020-02-04,AU,AUD,3,-0.063959,,,1.5000,1.0000,0.5000,dual,-0.095938,-0.031979,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
64,2020-02-05,JP,JPY,1,,,0.242226,1.8000,0.5000,0.8000,dual,0.193781,0.062510,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
65,2020-02-05,CA,CAD,1,-0.109857,-0.022760,0.064678,1.8000,0.7000,0.5000,inflation,-0.181336,-0.060445,-0.707107,0.000000,mild_weak,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
66,2020-02-05,CA,CAD,2,-0.109857,-0.022760,0.064678,1.8000,0.7000,0.5000,inflation,-0.181336,-0.060445,-0.707107,0.000000,mild_weak,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
67,2020-02-05,JP,JPY,2,,,0.242226,1.8000,0.5000,0.8000,dual,0.193781,0.062510,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
68,2020-02-05,CA,CAD,3,-0.109857,-0.022760,0.064678,1.8000,0.7000,0.5000,inflation,-0.181336,-0.060445,-0.707107,0.000000,mild_weak,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
69,2020-02-05,JP,JPY,3,,,0.242226,1.8000,0.5000,0.8000,dual,0.193781,0.062510,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
70,2020-02-06,AU,AUD,1,-0.020019,,,1.5000,1.0000,0.5000,dual,-0.030028,-0.010009,-0.707107,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
71,2020-02-06,JP,JPY,1,,,0.239745,1.8000,0.5000,0.8000,dual,0.191796,0.061870,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
72,2020-02-06,AU,AUD,2,-0.020019,,,1.5000,1.0000,0.5000,dual,-0.030028,-0.010009,-0.707107,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
73,2020-02-06,JP,JPY,2,,,0.239745,1.8000,0.5000,0.8000,dual,0.191796,0.061870,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
74,2020-02-06,AU,AUD,3,-0.020019,,,1.5000,1.0000,0.5000,dual,-0.030028,-0.010009,-0.707107,0.000000,mild_weak,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
75,2020-02-06,JP,JPY,3,,,0.239745,1.8000,0.5000,0.8000,dual,0.191796,0.061870,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
76,2020-02-07,UK,GBP,1,,,-0.094443,1.8000,0.7000,0.5000,inflation,-0.047222,-0.015741,0.088007,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
77,2020-02-07,CA,CAD,1,-0.112107,-0.007415,-0.204561,1.8000,0.7000,0.5000,inflation,-0.309263,-0.103088,-1.041095,0.000000,weak,flat,medium,3,True,2026-05-03T19:58:36.884106+00:00
78,2020-02-07,JP,JPY,1,,,0.198331,1.8000,0.5000,0.8000,dual,0.158665,0.051182,0.953088,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
79,2020-02-07,CA,CAD,2,-0.112107,-0.007415,-0.204561,1.8000,0.7000,0.5000,inflation,-0.309263,-0.103088,-1.041095,0.000000,weak,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
80,2020-02-07,JP,JPY,2,,,0.198331,1.8000,0.5000,0.8000,dual,0.158665,0.051182,0.953088,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
81,2020-02-07,UK,GBP,2,,,-0.094443,1.8000,0.7000,0.5000,inflation,-0.047222,-0.015741,0.088007,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
82,2020-02-07,CA,CAD,3,-0.112107,-0.007415,-0.204561,1.8000,0.7000,0.5000,inflation,-0.309263,-0.103088,-1.041095,0.000000,weak,flat,low,3,True,2026-05-03T19:58:36.884106+00:00
83,2020-02-07,JP,JPY,3,,,0.198331,1.8000,0.5000,0.8000,dual,0.158665,0.051182,0.953088,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
84,2020-02-07,UK,GBP,3,,,-0.094443,1.8000,0.7000,0.5000,inflation,-0.047222,-0.015741,0.088007,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
85,2020-02-09,JP,JPY,1,,,3.605144,1.8000,0.5000,0.8000,dual,2.884115,0.930360,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
86,2020-02-09,JP,JPY,2,,,3.605144,1.8000,0.5000,0.8000,dual,2.884115,0.930360,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
87,2020-02-09,JP,JPY,3,,,3.605144,1.8000,0.5000,0.8000,dual,2.884115,0.930360,0.000000,0.000000,neutral,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
88,2020-02-10,JP,JPY,1,,,6.311254,1.8000,0.5000,0.8000,dual,5.049003,1.628711,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
89,2020-02-10,CH,CHF,1,-0.016175,-0.100000,,2.0000,0.3000,0.5000,single,-0.062350,-0.022268,-0.707107,0.000000,mild_weak,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
90,2020-02-10,CH,CHF,2,-0.016175,-0.100000,,2.0000,0.3000,0.5000,single,-0.062350,-0.022268,-0.707107,0.000000,mild_weak,flat,low,2,True,2026-05-03T19:58:36.884106+00:00
91,2020-02-10,JP,JPY,2,,,6.311254,1.8000,0.5000,0.8000,dual,5.049003,1.628711,0.707107,0.000000,mild_strong,flat,low,1,True,2026-05-03T19:58:36.884106+00:00
