central_bank_code,indicator_key,indicator,indicator_category,observations,contribution_pearson_ic,contribution_spearman_ic,contribution_hit_rate,impact_score
BOC,composite_pmi,Composite PMI,Growth,29,0.522126751584624,0.4797240784780577,0.6206896551724138,0.4532564614046948
BOC,services_pmi,Services PMI,Growth,30,0.4844979635272076,0.4565195477880629,0.6,0.4192048461000227
BOC,ppi_mom,PPI (MoM),Inflation,71,0.12115414199588312,0.09664971334860559,0.5211267605633803,0.09802268922787534
BOC,retail_sales_yoy,Retail Sales (YoY),Growth,72,0.11652678149734587,0.04957508257025867,0.5555555555555556,0.09535813774197277
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,75,0.11363979475958343,0.11600352369087215,0.5066666666666667,0.09428762115372002
BOC,full_time_employment_change,Full-Time Employment Change,Labor,75,0.028519535464343975,0.14844950213371264,0.52,0.06679461837228579
BOC,new_motor_vehicle_sales,New Motor Vehicle Sales,Growth,74,0.052534915219016064,0.018438571442764107,0.5405405405405406,0.048015245258553496
BOC,wholesale_sales_mom,Wholesale Sales (MoM),Growth,73,0.01753767746455503,0.09574018730223456,0.5205479452054794,0.04571007300513965
BOC,part_time_employment_change,Part-Time Employment Change,Labor,75,-0.07754241035894222,0.14564826208236156,0.6,0.044923273445237354
BOC,gdp_mom,GDP (MoM),Growth,69,0.1356725484624305,-0.03751615689529098,0.4492753623188406,0.036291572090164176
BOC,employment_change,Employment Change,Labor,75,0.05187723516325367,-0.020056899004267426,0.49333333333333335,0.017254881213679945
BOC,new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,62,0.01119778998363299,-0.01650518832381623,0.5161290322580645,0.007098951397897428
BOC,cpi_headline_mom,Headline CPI (MoM),Inflation,72,0.04939846740782442,-0.06295895004830276,0.4722222222222222,-0.005299562421689736
BOC,retail_sales_mom,Retail Sales (MoM),Growth,72,-0.0287817039562372,0.0015122389370206136,0.5,-0.013937180297012415
BOC,ivey_pmi_sa,Ivey PMI s.a.,Growth,71,0.024431319893717003,-0.13684687132533402,0.5070422535211268,-0.026021500042291004
BOC,manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,73,-0.01385599527469337,-0.12328228756142721,0.4520547945205479,-0.06309076609755568
BOC,core_cpi_mom,Core CPI (MoM),Inflation,45,-0.10927655927368518,-0.04800045197793533,0.5111111111111111,-0.06459397078577876
BOC,imports,Imports,Trade,74,-0.07873953883031574,-0.08059416353332942,0.4864864864864865,-0.0689534238805621
BOC,ppi_yoy,PPI (YoY),Inflation,74,-0.056232295530905,-0.08827994967090465,0.4594594594594595,-0.0708163488829401
BOC,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,74,-0.040499592039273564,-0.11890939261166301,0.4594594594594595,-0.07213883001935188
BOC,vehicle_sales_mom,Vehicle Sales (MoM),Growth,23,-0.09480302850651043,-0.08944897727978006,0.4782608695652174,-0.08293185961110226
BOC,new_housing_price_index_mom,New Housing Price Index (MoM),Housing,64,-0.15275282619019093,-0.05977429487503829,0.515625,-0.08805870155760695
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,75,-0.1287580733677436,-0.13160069532408858,0.5333333333333333,-0.09052591194776502
BOC,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,70,-0.12343758593027451,-0.09864420350622015,0.4857142857142857,-0.097026339731289
BOC,cfib_business_barometer,CFIB Business Barometer,Sentiment,54,-0.1559578657771406,-0.08711067159342928,0.4444444444444444,-0.1263343565888213
BOC,exports,Exports,Trade,74,-0.13776817846590805,-0.19455304782655974,0.4864864864864865,-0.13265540898632736
BOC,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,73,-0.1970703321323244,-0.1035326088453128,0.4520547945205479,-0.14877303091153685
BOC,unemployment_rate,Unemployment Rate,Labor,75,-0.2219299516598571,-0.19476330608725867,0.4666666666666667,-0.18272730098943948
BOC,budget_balance,Budget Balance,Growth,72,-0.19287324572146725,-0.24742947641706042,0.4583333333333333,-0.1873321324525184
BOC,balance_of_trade,Balance of Trade,Trade,74,-0.20635167452100103,-0.22401089996419343,0.4189189189189189,-0.20281153968219098
BOC,manufacturing_pmi,Manufacturing PMI,Growth,49,-0.2027671116438589,-0.27246512530442846,0.40816326530612246,-0.21985778729080901
BOE,gdp_qoq,GDP (QoQ),Growth,24,0.2665422252418735,0.20391010755138547,0.5833333333333334,0.22777747821968572
BOE,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,64,0.16886380021953945,0.17854804535709984,0.5625,0.16299631371689968
BOE,core_rpi_yoy,Core RPI (YoY),Inflation,24,0.17142631116407808,0.1266870910709096,0.5416666666666666,0.14038594956997857
BOE,public_sector_net_borrowing,Public Sector Net Borrowing,Growth,70,0.10909439379039469,0.08148089827009602,0.5714285714285714,0.10756289494765472
BOE,ppi_input_mom,PPI Input (MoM),Inflation,65,0.0427183683972591,0.1106966245901857,0.6,0.09456817157568526
BOE,gdp_mom,GDP (MoM),Growth,67,0.05329453500301517,0.08989987604408842,0.5970149253731343,0.09242320046398783
BOE,cbi_business_optimism,CBI Business Optimism Index,Sentiment,25,0.07064280675491989,0.1177149473592849,0.52,0.07863588758524542
BOE,services_pmi,Services PMI,Growth,28,-0.011811804019295826,0.08216929643299974,0.6428571428571429,0.07588774406310916
BOE,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,72,0.035849332562375776,0.0775312332059671,0.5416666666666666,0.05785070290964467
BOE,employment_change,Employment Change,Labor,73,-0.00764617332642791,0.030807441932531,0.5753424657534246,0.0355561322179152
BOE,manufacturing_pmi,Manufacturing PMI,Growth,29,0.0075904857688001695,-0.04289413651345428,0.5172413793103449,-0.0021764463454982536
BOE,industrial_production_yoy,Industrial Production (YoY),Growth,74,0.02105006196658661,-0.07392373988419555,0.5135135135135135,-0.006246685576559965
BOE,consumer_confidence,Consumer Confidence,Sentiment,76,-0.03917593060916203,0.013509824832027213,0.5,-0.015535017854972851
BOE,core_rpi_mom,Core RPI (MoM),Inflation,22,0.07216151800509492,-0.06941883320926644,0.4090909090909091,-0.021108527323868826
BOE,hmrc_payrolls_change,HMRC Payrolls Change,Labor,41,0.012260025427177999,-0.022480722519753072,0.43902439024390244,-0.025004447944775948
BOE,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,73,-0.03256389539582359,-0.040668920020347436,0.5068493150684932,-0.025742897676618755
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,75,-0.07131518299430913,-0.043335601948730096,0.4666666666666667,-0.06199160541510692
BOE,retail_price_index_mom,Retail Price Index (MoM),Inflation,71,-0.09333486989809597,-0.06648534579460048,0.5070422535211268,-0.06379613727897743
BOE,unemployment_rate,Unemployment Rate,Labor,74,-0.09149114317821946,-0.08899117435726947,0.5135135135135135,-0.06703751849088518
BOE,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,74,-0.010649015892647046,-0.1487561840259033,0.43243243243243246,-0.07697839018112153
BOE,gdp_yoy,GDP (YoY),Growth,71,-0.06373829663150443,-0.1673227391924115,0.49295774647887325,-0.08488287148192636
BOE,retail_price_index_yoy,Retail Price Index (YoY),Inflation,75,-0.08819738397479805,-0.07384484275440266,0.4533333333333333,-0.0849188114803865
BOE,retail_sales_mom,Retail Sales (MoM),Growth,72,-0.01755387619847463,-0.15222867939184692,0.4166666666666667,-0.08777887525012472
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,75,-0.10355871010509943,-0.07719618259110377,0.44,-0.09893820982988083
BOE,ppi_output_mom,PPI Output (MoM),Inflation,58,-0.15429756993997432,-0.07761067805990854,0.5,-0.10043198838795972
BOE,composite_pmi,Composite PMI,Growth,29,-0.039459043327326485,-0.12128686876218107,0.3793103448275862,-0.10439144436128309
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,72,-0.09397794590254475,-0.10779213653921312,0.4305555555555556,-0.10710439169081407
BOE,house_price_index_mom,House Price Index (MoM),Housing,69,-0.16299094683585647,-0.122004855817988,0.4927536231884058,-0.1209954808879623
BOE,ppi_core_output_mom,PPI Core Output (MoM),Inflation,54,-0.16782919724818637,-0.1259593099334159,0.5,-0.12170239160411794
BOE,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,74,-0.12352810061733674,-0.1381599011157351,0.43243243243243246,-0.13023904767041591
BOE,nationwide_hpi_yoy,Nationwide House Prices (YoY),Housing,74,-0.1902071822299211,-0.1295077023299434,0.4864864864864865,-0.13936130721934897
BOE,house_price_index_yoy,House Price Index (YoY),Housing,75,-0.19749341847177201,-0.12879682611588678,0.49333333333333335,-0.1400524237373187
BOE,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,66,-0.20623978639405777,-0.12467245392654977,0.48484848484848486,-0.14658223543559987
BOE,ppi_input_yoy,PPI Input (YoY),Inflation,67,-0.20997075811486135,-0.11733008902368636,0.4626865671641791,-0.15510977889886493
BOE,ppi_output_yoy,PPI Output (YoY),Inflation,67,-0.21346739564953268,-0.15499312255823447,0.4925373134328358,-0.15621670921910236
BOE,cpi_headline_mom,Headline CPI (MoM),Inflation,68,-0.17944620068084516,-0.21207279722750688,0.4264705882352941,-0.182756704214557
BOE,core_cpi_mom,Core CPI (MoM),Inflation,70,-0.17093264766426056,-0.19102125043151852,0.4,-0.18277269896158582
BOE,claimant_count_change,Claimant Count Change,Labor,75,-0.1207992848106776,-0.31185143565109996,0.4266666666666667,-0.1832884064340021
BOE,cbi_industrial_trends_orders,CBI Industrial Trends Orders,Sentiment,76,-0.20046006143280087,-0.20562755736365945,0.4342105263157895,-0.1882340873991825
BOJ,leading_index_mom,Leading Index (MoM),Growth,22,0.30056223637343715,0.16666669326609637,0.5909090909090909,0.23664476253018385
BOJ,manufacturing_pmi,S&P Global Manufacturing PMI,Growth,76,0.15987929509407695,0.1813867504154612,0.5921052631578947,0.1711977779348347
BOJ,machine_tool_orders_yoy,Machine Tool Orders (YoY),Growth,75,0.061646740847413076,0.14237654606722894,0.6,0.11353633424387521
BOJ,imports_yoy,Imports (YoY),Growth,75,0.12530428476133784,0.12125264049126379,0.5066666666666667,0.10169460119471474
BOJ,gdp_qoq,GDP (QoQ),Growth,24,0.03879198801557025,0.16670303666821343,0.5416666666666666,0.0860735716749158
