central_bank_code,currency,indicator_key,indicator,indicator_category,target_families,initial_signed_weight,initial_abs_weight,avg_abs_correlation,avg_model_importance,avg_pca_score,economic_rationale,initial_normalized_abs_weight
BOC,CAD,cpi_headline_yoy,Headline CPI (YoY),Inflation,"inflation,unemployment",0.05360716239741377,0.05360716239741377,0.8306857700932573,0.1067646977476395,0.3886655144833463,"Linked to inflation, unemployment; strongest target link is inflation with Pearson 0.96. strong positive Pearson correlation (0.96); Spearman 0.90; same macro theme; PCA loading signal 0.39; model importance signal 0.09",0.07375392708971497
BOC,CAD,employment_change,Employment Change,Labor,"gdp_growth,inflation,unemployment",0.03920873241256186,0.03920873241256186,0.3241939070086081,0.0167013752616463,0.3072153942361847,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.84. strong positive Pearson correlation (0.84); Spearman 0.42; PCA loading signal 0.31; model importance signal 0.05",0.05394424666983948
BOC,CAD,manufacturing_pmi,Manufacturing PMI,Growth,"gdp_growth,inflation,unemployment",0.038687036231764595,0.038687036231764595,0.3531842144501758,0.0276737555405183,0.3679183096955488,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.41. moderate negative Pearson correlation (-0.41); Spearman -0.40; PCA loading signal 0.37; model importance signal 0.01",0.053226485453600196
BOC,CAD,full_time_employment_change,Full-Time Employment Change,Labor,"gdp_growth,inflation,unemployment",0.03840365823982607,0.03840365823982607,0.3428640283951741,0.007501213029749866,0.2939698828103399,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.80. strong positive Pearson correlation (0.80); Spearman 0.27; PCA loading signal 0.29",0.052836607705523904
BOC,CAD,ppi_yoy,PPI (YoY),Inflation,"gdp_growth,inflation,unemployment",0.03754761994627243,0.03754761994627243,0.2773205933637836,0.01954275594015657,0.2850960545906697,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.57. moderate positive Pearson correlation (0.57); Spearman 0.52; same macro theme; PCA loading signal 0.29; model importance signal 0.05",0.051658851169546445
BOC,CAD,balance_of_trade,Balance of Trade,Trade,"gdp_growth,inflation,unemployment",0.03713303082914203,0.03713303082914203,0.30385812976699716,0.026104553667446767,0.2338486366816714,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.36. weak negative Pearson correlation (-0.36); Spearman -0.45; PCA loading signal 0.23; model importance signal 0.05",0.05108845023523958
BOC,CAD,cpi_headline_mom,Headline CPI (MoM),Inflation,"gdp_growth,inflation,unemployment",0.035063565123467394,0.035063565123467394,0.2787170039778358,0.029978026589371296,0.1987183854875247,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.28. weak positive Pearson correlation (0.28); Spearman 0.25; same macro theme; PCA loading signal 0.20; model importance signal 0.04",0.048241233260025156
BOC,CAD,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,"gdp_growth,inflation,unemployment",0.034657558383766995,0.034657558383766995,0.24181716929488636,0.0,0.2611480041221345,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.40. moderate positive Pearson correlation (0.40); Spearman 0.42; same macro theme; PCA loading signal 0.26",0.04768264015159305
BOC,CAD,exports,Exports,Trade,"gdp_growth,inflation,unemployment",0.0333564046264773,0.0333564046264773,0.43737044336757314,0.07370075052566476,0.2886449814289138,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.79. strong negative Pearson correlation (-0.79); Spearman -0.60; PCA loading signal 0.29; model importance signal 0.21",0.045892483854264345
BOC,CAD,ivey_pmi_sa,Ivey PMI s.a.,Growth,"gdp_growth,inflation,unemployment",0.033055452820978534,0.033055452820978534,0.24471288634694507,0.02023480185118823,0.2313669662300276,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.36. weak positive Pearson correlation (0.36); Spearman 0.27; same macro theme; PCA loading signal 0.23; model importance signal 0.03",0.045478427662374865
BOC,CAD,retail_sales_yoy,Retail Sales (YoY),Growth,"gdp_growth,inflation,unemployment",0.0321505005935775,0.0321505005935775,0.20281551725394087,0.023081658935960436,0.1666807823077939,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.14. weak positive Pearson correlation (0.14); Spearman 0.23; same macro theme; PCA loading signal 0.17; model importance signal 0.03",0.044233374247597754
