central_bank_code,month,indicator_key,value_normalized,indicator,indicator_category,signed_weight,contribution
BOC,2019-11-01,balance_of_trade,-0.2571348981469861,Balance of Trade,Trade,0.03713303082914203,-0.00954819810014033
BOC,2019-11-01,budget_balance,0.4195285102287306,Budget Balance,Growth,0.022165876299863732,0.009299217061996158
BOC,2019-11-01,exports,-1.1822657009684352,Exports,Trade,0.0333564046264773,-0.03943613309750894
BOC,2019-11-01,gdp_mom,-0.0187480327384619,GDP (MoM),Growth,0.0059200559884897315,-0.00011098940348573292
BOC,2019-11-01,imports,-1.1611126021174174,Imports,Trade,0.0249490385005521,-0.02896864301370368
BOC,2019-11-01,manufacturing_sales_mom,-0.1772814527064491,Manufacturing Sales (MoM),Growth,0.006562575809665964,-0.0011634229730337834
BOC,2019-11-01,new_motor_vehicle_sales,0.0896756029200996,New Motor Vehicle Sales,Growth,0.012902579506752465,0.0011570465964925486
BOC,2019-11-01,ppi_mom,-0.2705888960111772,PPI (MoM),Inflation,0.009163410622786333,-0.0024795171641168474
BOC,2019-11-01,ppi_yoy,-0.7367807874857992,PPI (YoY),Inflation,0.03754761994627243,-0.027664364992232106
BOC,2019-11-01,raw_materials_prices_mom,0.1732829589383795,Raw Materials Prices (MoM),Inflation,-0.010871747526889766,-0.001883888580290468
BOC,2019-11-01,raw_materials_prices_yoy,0.136245024303943,Raw Materials Prices (YoY),Inflation,0.034657558383766995,0.0047219198843116575
BOC,2019-11-01,retail_sales_ex_autos_mom,-0.0398337473816326,Retail Sales Ex Autos (MoM),Growth,0.02571506160918533,-0.0010243272680434074
BOC,2019-11-01,retail_sales_mom,0.099178838061067,Retail Sales (MoM),Growth,-0.014649595799198133,-0.001452929889428759
BOC,2019-11-01,retail_sales_yoy,-0.2813926804124533,Retail Sales (YoY),Growth,0.0321505005935775,-0.009046915538628943
BOC,2019-11-01,wholesale_sales_mom,-0.4707508513451306,Wholesale Sales (MoM),Growth,0.006155659238182199,-0.002897781826964788
BOC,2019-12-01,balance_of_trade,0.0031267127163211,Balance of Trade,Trade,0.03713303082914203,0.00011610431968902182
BOC,2019-12-01,budget_balance,0.7023426522578103,Budget Balance,Growth,0.022165876299863732,0.015568040350064833
BOC,2019-12-01,core_cpi_yoy,-0.8002667204300642,Core CPI (YoY),Inflation,-0.006547838696679133,0.005240017399696476
BOC,2019-12-01,cpi_headline_yoy,-0.4767334281441578,Headline CPI (YoY),Inflation,0.05360716239741377,-0.025556326302799654
BOC,2019-12-01,employment_change,0.041155219340754,Employment Change,Labor,0.03920873241256186,0.0016136439825119142
BOC,2019-12-01,exports,-1.1121949365574917,Exports,Trade,0.0333564046264773,-0.03709882432733094
BOC,2019-12-01,full_time_employment_change,0.0918163890137061,Full-Time Employment Change,Labor,0.03840365823982607,0.00352608522449729
BOC,2019-12-01,gdp_mom,0.0836450691408301,GDP (MoM),Growth,0.0059200559884897315,0.0004951834924748088
BOC,2019-12-01,imports,-1.171789930232396,Imports,Trade,0.0249490385005521,-0.029235032083927307
BOC,2019-12-01,ivey_pmi_sa,-0.3458498833874051,Ivey PMI s.a.,Growth,0.033055452820978534,-0.011432224503453296
BOC,2019-12-01,manufacturing_sales_mom,-0.1978636647079719,Manufacturing Sales (MoM),Growth,0.006562575809665964,-0.0012984952996243934
BOC,2019-12-01,new_housing_price_index_mom,-0.1106740208445731,New Housing Price Index (MoM),Housing,-0.026984602905068197,0.0029864945043980456
BOC,2019-12-01,new_housing_price_index_yoy,-0.7926533016892228,New Housing Price Index (YoY),Housing,0.012696870154716435,-0.010064216049255335
BOC,2019-12-01,new_motor_vehicle_sales,-1.0613343628895644,New Motor Vehicle Sales,Growth,0.012902579506752465,-0.013693951000431078
BOC,2019-12-01,part_time_employment_change,-0.0481957216954225,Part-Time Employment Change,Labor,-0.0030072234519313013,0.00014493530456522876
BOC,2019-12-01,ppi_mom,-0.2705888960111772,PPI (MoM),Inflation,0.009163410622786333,-0.0024795171641168474
BOC,2019-12-01,ppi_yoy,-0.6358103137757413,PPI (YoY),Inflation,0.03754761994627243,-0.023873164019571756
BOC,2019-12-01,raw_materials_prices_mom,0.4543992400780135,Raw Materials Prices (MoM),Inflation,-0.010871747526889766,-0.004940113814538732
BOC,2019-12-01,raw_materials_prices_yoy,0.0576307586535117,Raw Materials Prices (YoY),Inflation,0.034657558383766995,0.001997341382734867
BOC,2019-12-01,retail_sales_ex_autos_mom,0.0376805718474903,Retail Sales Ex Autos (MoM),Growth,0.02571506160918533,0.0009689582265275475
BOC,2019-12-01,retail_sales_yoy,-0.2268535019144922,Retail Sales (YoY),Growth,0.0321505005935775,-0.007293453647957015
BOC,2019-12-01,unemployment_rate,-0.6500420676583235,Unemployment Rate,Labor,-0.011675734969682432,0.007589718901122961
BOC,2019-12-01,wholesale_sales_mom,0.119004130205816,Wholesale Sales (MoM),Growth,0.006155659238182199,0.0007325488734832685
