central_bank_code,currency,indicator_key,indicator,indicator_category,target_families,initial_signed_weight,initial_abs_weight,avg_abs_correlation,avg_model_importance,avg_pca_score,economic_rationale,initial_normalized_abs_weight,impact_score,contribution_hit_rate,refinement_multiplier,refined_signed_weight,refined_abs_weight,refined_normalized_abs_weight,weight_change,refinement_rationale,selection_criteria,interpretability_note
ECB,EUR,cpi_headline_yoy,Headline HICP (YoY),Inflation,"gdp_growth,inflation,unemployment",0.10992395433193791,0.10992395433193791,0.4136463432288657,0.1625066356542538,0.4592560903435156,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.81. strong positive Pearson correlation (0.81); Spearman 0.85; same macro theme; PCA loading signal 0.46; model importance signal 0.40",0.23964283204694473,-0.10173944645380746,0.4533333333333333,0.8982605535461925,0.09874035206619293,0.09874035206619293,0.22175557000428836,-0.017887262042656366,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,"gdp_growth,inflation,unemployment",0.11886381366237436,0.11886381366237436,0.45263259567280323,0.0627465875559394,0.3653700866721592,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.74. strong positive Pearson correlation (0.74); Spearman 0.74; same macro theme; PCA loading signal 0.37; model importance signal 0.11",0.18764327883600718,-0.060424344929961224,0.4666666666666667,0.9395756550700388,0.11168154558594842,0.11168154558594842,0.18183838283655046,-0.005804895999456716,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,balance_of_trade,Balance of Trade,Growth,"gdp_growth,inflation,unemployment",-0.0855801148316991,0.0855801148316991,0.1944530078439847,0.13008844482077195,0.2539915897582966,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.21. weak negative Pearson correlation (-0.21); Spearman -0.24; same macro theme; PCA loading signal 0.25; model importance signal 0.33",0.13510027026219554,0.08746966974945618,0.5333333333333333,1.0874696697494561,-0.09306577921314835,0.09306577921314835,0.15152844367217966,0.01642817340998412,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBNZ,NZD,labour_cost_index_qoq,Labour Cost Index (QoQ),Labor,"gdp_growth,inflation,unemployment",0.057878433168642426,0.057878433168642426,0.6054194982913388,0.025852880007813633,0.3532126742276502,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.64. moderate negative Pearson correlation (-0.64); Spearman -0.66; same macro theme; PCA loading signal 0.35; model importance signal 0.01",0.15484153889959706,-0.11673365524440989,0.375,0.8832663447555901,0.0511220721050475,0.0511220721050475,0.14674864980962615,-0.008092889089970912,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,cpi_headline_yoy,Headline CPI (YoY),Inflation,"gdp_growth,unemployment",0.0905546237585496,0.0905546237585496,0.4914468860634773,0.16116667521378497,0.5163344998946099,"Linked to gdp_growth, unemployment; strongest target link is unemployment with Pearson -0.87. strong negative Pearson correlation (-0.87); Spearman -0.90; PCA loading signal 0.52; model importance signal 0.28",0.14295323355583997,-0.020574565119177858,0.4931506849315068,0.9794254348808221,0.08869150175518667,0.08869150175518667,0.14440630424564393,0.0014530706898039647,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBNZ,NZD,cpi_headline_qoq,Headline CPI (QoQ),Inflation,"gdp_growth,inflation,unemployment",0.04712365618827549,0.04712365618827549,0.6309591173873219,0.15974511949179285,0.3694991761884383,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.75. strong positive Pearson correlation (0.75); Spearman 0.72; same macro theme; PCA loading signal 0.37; model importance signal 0.05",0.1260694017322039,0.023982239632774034,0.52,1.023982239632774,0.04825378700335517,0.04825378700335517,0.13851508359037157,0.012445681858167662,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
ECB,EUR,core_cpi_yoy,Core HICP (YoY),Inflation,"gdp_growth,unemployment",0.06051486648109336,0.06051486648109336,0.3493524743449995,0.03901597698703605,0.3428500401250067,"Linked to gdp_growth, unemployment; strongest target link is unemployment with Pearson -0.68. moderate negative Pearson correlation (-0.68); Spearman -0.48; PCA loading signal 0.34; model importance signal 0.05",0.13192714975191228,0.016368130621674172,0.52,1.016368130621674,0.061505381720209064,0.061505381720209064,0.13813158142836035,0.0062044316764480745,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBNZ,NZD,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,"gdp_growth,inflation,unemployment",0.052052032561091435,0.052052032561091435,0.5207101119296946,0.019369000133746733,0.3190101702958986,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.56. moderate negative Pearson correlation (-0.56); Spearman -0.57; same macro theme; PCA loading signal 0.32; model importance signal 0.03",0.13925423311179072,-0.15699294209758904,0.375,0.8430070579024109,0.04388023082716619,0.04388023082716619,0.12596055601951212,-0.013293677092278605,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBNZ,NZD,balance_of_trade,Balance of Trade,Growth,"inflation,unemployment",-0.0438578341404135,0.0438578341404135,0.44358839920914517,0.046403246819892996,0.227155757833053,"Linked to inflation, unemployment; strongest target link is inflation with Pearson -0.50. moderate negative Pearson correlation (-0.50); Spearman -0.37; PCA loading signal 0.23; model importance signal 0.06",0.11733238374504187,-0.06458791086968993,0.49333333333333335,0.93541208913031,-0.04102514825801483,0.04102514825801483,0.11776488837800833,0.00043250463296645725,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,unemployment_rate,Unemployment Rate,Labor,"gdp_growth,inflation",-0.07073166248743916,0.07073166248743916,0.46123777007173977,0.0428912259196567,0.4832177752201831,"Linked to gdp_growth, inflation; strongest target link is inflation with Pearson -0.87. strong negative Pearson correlation (-0.87); Spearman -0.90; PCA loading signal 0.48; model importance signal 0.04",0.11165989595760523,0.01938206705523126,0.47297297297297297,1.0193820670552312,-0.07210258831269868,0.07210258831269868,0.11739645962385657,0.005736563666251346,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
