central_bank_code,month,indicator_key,value_normalized,indicator,indicator_category,signed_weight,contribution
BOC,2019-11-01,balance_of_trade,-0.2571348981469861,Balance of Trade,Trade,0.02960202367361747,-0.007611713342260299
BOC,2019-11-01,budget_balance,0.4195285102287306,Budget Balance,Growth,0.01801349542493152,0.007557174899633576
BOC,2019-11-01,exports,-1.1822657009684352,Exports,Trade,0.02893149712843853,-0.03420471673261965
BOC,2019-11-01,gdp_mom,-0.0187480327384619,GDP (MoM),Growth,0.006134904127173815,-0.00011501738342357971
BOC,2019-11-01,imports,-1.1611126021174174,Imports,Trade,0.023228716873411066,-0.026971155892735084
BOC,2019-11-01,manufacturing_sales_mom,-0.1772814527064491,Manufacturing Sales (MoM),Growth,0.006148537874260851,-0.0010900217263695863
BOC,2019-11-01,new_motor_vehicle_sales,0.0896756029200996,New Motor Vehicle Sales,Growth,0.013522100026237169,0.0012126024725987127
BOC,2019-11-01,ppi_mom,-0.2705888960111772,PPI (MoM),Inflation,0.01006163277453113,-0.002722566104530256
BOC,2019-11-01,ppi_yoy,-0.7367807874857992,PPI (YoY),Inflation,0.03488863459243317,-0.025705275669317205
BOC,2019-11-01,raw_materials_prices_mom,0.1732829589383795,Raw Materials Prices (MoM),Inflation,-0.009254324696009371,-0.0016036167663010233
BOC,2019-11-01,raw_materials_prices_yoy,0.136245024303943,Raw Materials Prices (YoY),Inflation,0.03215740267063467,0.004381286108412302
BOC,2019-11-01,retail_sales_ex_autos_mom,-0.0398337473816326,Retail Sales Ex Autos (MoM),Growth,0.023220023305281487,-0.0009249405425382044
BOC,2019-11-01,retail_sales_mom,0.099178838061067,Retail Sales (MoM),Growth,-0.014445421741266352,-0.001432680143600872
BOC,2019-11-01,retail_sales_yoy,-0.2813926804124533,Retail Sales (YoY),Growth,0.03521631245765324,-0.009909612556701516
BOC,2019-11-01,wholesale_sales_mom,-0.4707508513451306,Wholesale Sales (MoM),Growth,0.0064370348713542695,-0.003030239645828316
BOC,2019-12-01,balance_of_trade,0.0031267127163211,Balance of Trade,Trade,0.02960202367361747,9.255702384913798e-05
BOC,2019-12-01,budget_balance,0.7023426522578103,Budget Balance,Growth,0.01801349542493152,0.012651646153180337
BOC,2019-12-01,core_cpi_yoy,-0.8002667204300642,Core CPI (YoY),Inflation,-0.007165218831087283,0.0057340861751179585
BOC,2019-12-01,cpi_headline_yoy,-0.4767334281441578,Headline CPI (YoY),Inflation,0.04875432513445595,-0.023242816558204062
BOC,2019-12-01,employment_change,0.041155219340754,Employment Change,Labor,0.03988527443287958,0.0016414872177513266
BOC,2019-12-01,exports,-1.1121949365574917,Exports,Trade,0.02893149712843853,-0.032177464613276946
BOC,2019-12-01,full_time_employment_change,0.0918163890137061,Full-Time Employment Change,Labor,0.04096881593605494,0.0037616087414157422
BOC,2019-12-01,gdp_mom,0.0836450691408301,GDP (MoM),Growth,0.006134904127173815,0.0005131544798898177
BOC,2019-12-01,imports,-1.171789930232396,Imports,Trade,0.023228716873411066,-0.02721917652448243
BOC,2019-12-01,ivey_pmi_sa,-0.3458498833874051,Ivey PMI s.a.,Growth,0.03219530035399949,-0.011134740873053207
BOC,2019-12-01,manufacturing_sales_mom,-0.1978636647079719,Manufacturing Sales (MoM),Growth,0.006148537874260851,-0.0012165722363970154
BOC,2019-12-01,new_housing_price_index_mom,-0.1106740208445731,New Housing Price Index (MoM),Housing,-0.024608373811200263,0.0027235076761318246
BOC,2019-12-01,new_housing_price_index_yoy,-0.7926533016892228,New Housing Price Index (YoY),Housing,0.01278700461885018,-0.010135661429846936
BOC,2019-12-01,new_motor_vehicle_sales,-1.0613343628895644,New Motor Vehicle Sales,Growth,0.013522100026237169,-0.014351469416275388
BOC,2019-12-01,part_time_employment_change,-0.0481957216954225,Part-Time Employment Change,Labor,-0.003142317773373342,0.0001514462728840813
BOC,2019-12-01,ppi_mom,-0.2705888960111772,PPI (MoM),Inflation,0.01006163277453113,-0.002722566104530256
BOC,2019-12-01,ppi_yoy,-0.6358103137757413,PPI (YoY),Inflation,0.03488863459243317,-0.02218255370742211
BOC,2019-12-01,raw_materials_prices_mom,0.4543992400780135,Raw Materials Prices (MoM),Inflation,-0.009254324696009371,-0.004205158109301852
