central_bank_code,currency,indicator_key,indicator,shock,baseline_pearson_ic,scenario_pearson_ic,pearson_ic_delta,baseline_hit_rate,scenario_hit_rate,hit_rate_delta,sensitivity_magnitude
ECB,EUR,zew_economic_sentiment,ZEW Economic Sentiment Index,minus_20pct,-0.005819286849960415,-0.003966541993019613,0.001852744856940802,0.52,0.5466666666666666,0.026666666666666616,0.02851941152360742
RBNZ,NZD,credit_card_spending_yoy,Credit Card Spending (YoY),plus_20pct,-0.09690036707060748,-0.0973611962235104,-0.00046082915290292237,0.5540540540540541,0.581081081081081,0.027027027027026973,0.027487856179929895
RBA,AUD,commodity_prices_yoy,Commodity Prices (YoY),plus_20pct,-0.1383878319758714,-0.13846296713836426,-7.513516249285646e-05,0.4666666666666667,0.44,-0.026666666666666672,0.02674180182915953
ECB,EUR,consumer_inflation_expectation,Consumer Inflation Expectation,plus_20pct,-0.005819286849960415,0.0015720463699159322,0.007391333219876348,0.52,0.5333333333333333,0.013333333333333308,0.020724666553209654
ECB,EUR,consumer_inflation_expectation,Consumer Inflation Expectation,minus_20pct,-0.005819286849960415,-0.013101911200062879,-0.007282624350102463,0.52,0.5066666666666667,-0.013333333333333308,0.02061595768343577
ECB,EUR,cpi_headline_yoy,Headline HICP (YoY),plus_20pct,-0.005819286849960415,-0.011973786092341742,-0.006154499242381327,0.52,0.5066666666666667,-0.013333333333333308,0.019487832575714636
RBNZ,NZD,exports,Exports,minus_20pct,-0.09690036707060748,-0.10094799468693547,-0.004047627616327987,0.5540540540540541,0.5675675675675675,0.013513513513513487,0.017561141129841473
BOC,CAD,composite_pmi,Composite PMI,plus_20pct,-0.15295433463870756,-0.14997106993845785,0.002983264700249705,0.5066666666666667,0.52,0.013333333333333308,0.016316598033583013
BOC,CAD,services_pmi,Services PMI,plus_20pct,-0.15295433463870756,-0.1503791999617833,0.0025751346769242456,0.5066666666666667,0.52,0.013333333333333308,0.015908468010257554
BOE,GBP,cbi_industrial_trends_orders,CBI Industrial Trends Orders,plus_20pct,-0.10984412989764278,-0.11223822879364147,-0.002394098895998689,0.4533333333333333,0.44,-0.013333333333333308,0.015727432229331997
BOE,GBP,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),minus_20pct,-0.10984412989764278,-0.11221034053815956,-0.002366210640516786,0.4533333333333333,0.44,-0.013333333333333308,0.015699543973850094
SNB,CHF,producer_import_prices_yoy,Producer & Import Prices (YoY),minus_20pct,-0.05399171631330828,-0.05182435742631286,0.002167358886995416,0.44594594594594594,0.43243243243243246,-0.013513513513513487,0.015680872400508902
BOC,CAD,cpi_headline_yoy,Headline CPI (YoY),plus_20pct,-0.15295433463870756,-0.1551989677322933,-0.002244633093585746,0.5066666666666667,0.52,0.013333333333333308,0.015577966426919054
BOC,CAD,retail_sales_yoy,Retail Sales (YoY),plus_20pct,-0.15295433463870756,-0.15085335095403646,0.0021009836846710983,0.5066666666666667,0.52,0.013333333333333308,0.015434317018004406
SNB,CHF,producer_import_prices_yoy,Producer & Import Prices (YoY),plus_20pct,-0.05399171631330828,-0.05588523296606011,-0.0018935166527518296,0.44594594594594594,0.4594594594594595,0.013513513513513542,0.015407030166265372
RBNZ,NZD,business_confidence,Business Confidence,plus_20pct,-0.09690036707060748,-0.09541289121576536,0.0014874758548421158,0.5540540540540541,0.5675675675675675,0.013513513513513487,0.015000989368355602
