central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,2,70,0.9446829115549439,0.8454329681433415,0.9446829115549439,0.8454329681433415,positive,True,0.2768860914433692,0.0382714500861866,0.9722222222222222,0.7260593322918318,currency_positive,strong positive Pearson correlation (0.94); Spearman 0.85; same macro theme; PCA loading signal 0.28; model importance signal 0.04,0.07714518482755607,7.714518482755607
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),gdp_mom,GDP (MoM),Growth,1,68,0.8962279805045784,0.4480534564698185,0.8962279805045784,0.4480534564698185,positive,True,0.3029410682734002,0.0,0.9444444444444444,0.6274529221789937,currency_positive,strong positive Pearson correlation (0.90); Spearman 0.45; same macro theme; PCA loading signal 0.30,0.06666806622992728,6.666806622992729
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,2,71,0.8729672040528339,0.2221532287896352,0.8729672040528339,0.2221532287896352,positive,True,0.2961141172266595,0.037549217549384,0.9861111111111112,0.5846158261690823,currency_positive,strong positive Pearson correlation (0.87); Spearman 0.22; same macro theme; PCA loading signal 0.30; model importance signal 0.04,0.06211654331412223,6.211654331412223
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),wholesale_sales_mom,Wholesale Sales (MoM),Growth,2,72,0.8482296645382541,0.26068444943826424,0.8482296645382541,0.26068444943826424,positive,True,0.2825079123473913,0.0292985084068425,1.0,0.5824379599008227,currency_positive,strong positive Pearson correlation (0.85); Spearman 0.26; same macro theme; PCA loading signal 0.28; model importance signal 0.03,0.061885140881397835,6.188514088139783
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),employment_change,Employment Change,Labor,1,72,0.8423084220618444,0.4234108147175056,0.8423084220618444,0.4234108147175056,positive,False,0.3072153942361847,0.0501041257849389,1.0,0.5011911619080073,currency_positive,strong positive Pearson correlation (0.84); Spearman 0.42; PCA loading signal 0.31; model importance signal 0.05,0.053252514084882005,5.3252514084882
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),part_time_employment_change,Part-Time Employment Change,Labor,1,72,0.726363706464319,0.41926357198108094,0.726363706464319,0.41926357198108094,positive,False,0.2598300173507031,0.0521046221473226,1.0,0.45738901522368336,currency_positive,strong positive Pearson correlation (0.73); Spearman 0.42; PCA loading signal 0.26; model importance signal 0.05,0.04859845269965118,4.859845269965118
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),full_time_employment_change,Full-Time Employment Change,Labor,1,72,0.8016827523861862,0.2709964350437472,0.8016827523861862,0.2709964350437472,positive,False,0.2939698828103399,0.0,1.0,0.4476186916304664,currency_positive,strong positive Pearson correlation (0.80); Spearman 0.27; PCA loading signal 0.29,0.04756033723731759,4.756033723731759
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),ivey_pmi_sa,Ivey PMI s.a.,Growth,2,70,0.35558682314845863,0.2709947799451047,0.35558682314845863,0.2709947799451047,positive,True,0.2313669662300276,0.027771850849658,0.9722222222222222,0.4244644937216276,currency_positive,weak positive Pearson correlation (0.36); Spearman 0.27; same macro theme; PCA loading signal 0.23; model importance signal 0.03,0.04510015967638346,4.510015967638346
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,3,72,0.6514146293204652,0.2964599161761558,0.6514146293204652,0.2964599161761558,positive,False,0.217349393707546,0.0,1.0,0.39383926289872906,currency_positive,moderate positive Pearson correlation (0.65); Spearman 0.30; PCA loading signal 0.22,0.04184617066041492,4.184617066041492
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),budget_balance,Budget Balance,Growth,3,72,-0.061521140996806487,-0.029730213001075846,0.061521140996806487,0.029730213001075846,negative,True,0.2516379907446192,0.3467048120820146,1.0,0.34863704128723105,currency_negative,weak negative Pearson correlation (-0.06); Spearman -0.03; same macro theme; PCA loading signal 0.25; model importance signal 0.35,0.03704334865160208,3.704334865160208
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),retail_sales_yoy,Retail Sales (YoY),Growth,2,72,0.13555112936157354,0.22566193220595954,0.13555112936157354,0.22566193220595954,positive,True,0.1666807823077939,0.0322448006335591,1.0,0.34128188217277194,currency_positive,weak positive Pearson correlation (0.14); Spearman 0.23; same macro theme; PCA loading signal 0.17; model importance signal 0.03,0.03626184900813635,3.626184900813635
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),new_motor_vehicle_sales,New Motor Vehicle Sales,Growth,3,73,0.24297744348039857,0.039108695315010385,0.24297744348039857,0.039108695315010385,positive,True,0.2015110234135562,0.0098689082800386,1.0,0.3386646707291683,currency_positive,weak positive Pearson correlation (0.24); Spearman 0.04; same macro theme; PCA loading signal 0.20; model importance signal 0.01,0.035983765315014085,3.5983765315014087
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),manufacturing_pmi,Manufacturing PMI,Growth,2,46,0.1838754339708893,0.12028288788388075,0.1838754339708893,0.12028288788388075,positive,True,0.3679183096955488,0.0506105189939881,0.6388888888888888,0.33793718063110856,currency_positive,weak positive Pearson correlation (0.18); Spearman 0.12; same macro theme; PCA loading signal 0.37; model importance signal 0.05,0.035906468108602756,3.5906468108602754
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),services_pmi,Services PMI,Growth,2,28,-0.25711461128570795,-0.28210761658453604,0.25711461128570795,0.28210761658453604,negative,True,0.0,0.0060412510002165,0.3888888888888889,0.2934718082615453,currency_negative,weak negative Pearson correlation (-0.26); Spearman -0.28; same macro theme; model importance signal 0.01,0.031181937733036565,3.1181937733036564
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),composite_pmi,Composite PMI,Growth,2,27,-0.24717835981783617,-0.26335126300419365,0.24717835981783617,0.26335126300419365,negative,True,0.0,0.0,0.375,0.2843237605461896,currency_negative,weak negative Pearson correlation (-0.25); Spearman -0.26; same macro theme,0.030209940266128783,3.0209940266128785
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),cpi_headline_mom,Headline CPI (MoM),Inflation,2,69,0.3561503245114838,0.1674672616478316,0.3561503245114838,0.1674672616478316,positive,False,0.1987183854875247,0.0295665350712787,0.9583333333333334,0.2769675033662166,currency_positive,weak positive Pearson correlation (0.36); Spearman 0.17; PCA loading signal 0.20; model importance signal 0.03,0.02942832395111398,2.942832395111398
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),vehicle_sales_mom,Vehicle Sales (MoM),Growth,3,19,-0.17126604143929597,-0.1695214470894897,0.17126604143929597,0.1695214470894897,negative,True,0.2022084495327679,0.0,0.2638888888888889,0.2680705116544738,currency_negative,weak negative Pearson correlation (-0.17); Spearman -0.17; same macro theme; PCA loading signal 0.20,0.028483001662031746,2.848300166203175
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),core_cpi_mom,Core CPI (MoM),Inflation,2,42,-0.18278479585013255,-0.17717288878147613,0.18278479585013255,0.17717288878147613,negative,False,0.3347891241472648,0.0,0.5833333333333334,0.208865392191176,currency_negative,weak negative Pearson correlation (-0.18); Spearman -0.18; PCA loading signal 0.33,0.0221923451266815,2.21923451266815
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),ppi_mom,PPI (MoM),Inflation,2,69,0.2609150108013094,0.1347014294218023,0.2609150108013094,0.1347014294218023,positive,False,0.0,0.0,0.9583333333333334,0.20104812245808662,currency_positive,weak positive Pearson correlation (0.26); Spearman 0.13,0.021361745351174938,2.136174535117494
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),unemployment_rate,Unemployment Rate,Labor,1,72,0.11491470737485648,-0.008631031973823006,0.11491470737485648,0.008631031973823006,positive,False,0.3419538347147182,0.0,1.0,0.19775230885587083,currency_positive,weak positive Pearson correlation (0.11); Spearman -0.01; PCA loading signal 0.34,0.021011558888179495,2.1011558888179493
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,73,0.07170715723532416,0.09885616135675016,0.07170715723532416,0.09885616135675016,positive,False,0.2611480041221345,0.0,1.0,0.18829002018393148,currency_positive,weak positive Pearson correlation (0.07); Spearman 0.10; PCA loading signal 0.26,0.02000617272203206,2.000617272203206
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),core_cpi_yoy,Core CPI (YoY),Inflation,1,72,-0.047200527959355476,-0.022127241772958932,0.047200527959355476,0.022127241772958932,negative,False,0.3682846424639844,0.0,1.0,0.18487684238591562,currency_negative,weak negative Pearson correlation (-0.05); Spearman -0.02; PCA loading signal 0.37,0.0196435160900374,1.96435160900374
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),balance_of_trade,Balance of Trade,Trade,2,73,0.0460469400920206,0.1238288035450603,0.0460469400920206,0.1238288035450603,positive,False,0.2338486366816714,0.0,1.0,0.1806725973393191,currency_positive,weak positive Pearson correlation (0.05); Spearman 0.12; PCA loading signal 0.23,0.019196807058481754,1.9196807058481753
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),imports,Imports,Trade,2,73,-0.036414948513218956,-0.04403196045083862,0.036414948513218956,0.04403196045083862,negative,False,0.3276857085120525,0.0,1.0,0.17871430417630285,currency_negative,weak negative Pearson correlation (-0.04); Spearman -0.04; PCA loading signal 0.33,0.018988734685759043,1.8988734685759043
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),ppi_yoy,PPI (YoY),Inflation,2,72,0.02245333736179305,0.08915297142780919,0.02245333736179305,0.08915297142780919,positive,False,0.2850960545906697,0.0,1.0,0.17588388532042032,currency_positive,weak positive Pearson correlation (0.02); Spearman 0.09; PCA loading signal 0.29,0.01868799729961841,1.868799729961841
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),new_housing_price_index_mom,New Housing Price Index (MoM),Housing,2,61,-0.022086058566102552,0.10539401693312127,0.022086058566102552,0.10539401693312127,negative,False,0.3142587968528253,0.0,0.8472222222222222,0.1689934266121858,currency_negative,weak negative Pearson correlation (-0.02); Spearman 0.11; PCA loading signal 0.31,0.0179558729580505,1.79558729580505
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,2,61,0.019151620448491738,0.12191537814059532,0.019151620448491738,0.12191537814059532,positive,False,0.2951192593948749,0.0,0.8472222222222222,0.16797225067596627,currency_positive,weak positive Pearson correlation (0.02); Spearman 0.12; PCA loading signal 0.30,0.017847371072822416,1.7847371072822416
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),cfib_business_barometer,CFIB Business Barometer,Sentiment,2,51,0.06202701881272114,0.10209723204912431,0.06202701881272114,0.10209723204912431,positive,False,0.2645266355697165,0.0285934528209528,0.7083333333333334,0.1623365667690855,currency_positive,weak positive Pearson correlation (0.06); Spearman 0.10; PCA loading signal 0.26; model importance signal 0.03,0.01724856894014595,1.724856894014595
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),exports,Exports,Trade,2,73,-0.020875562914860767,-0.017743718739935976,0.020875562914860767,0.017743718739935976,negative,False,0.2886449814289138,0.0,1.0,0.16176750927964992,currency_negative,weak negative Pearson correlation (-0.02); Spearman -0.02; PCA loading signal 0.29,0.017188105499697574,1.7188105499697575
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cpi_headline_yoy,Headline CPI (YoY),Inflation,1,76,0.9579643245315118,0.8976613990751803,0.9579643245315118,0.8976613990751803,positive,True,0.3886655144833463,0.0937318215541612,1.0,0.7728157794456993,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.96); Spearman 0.90; same macro theme; PCA loading signal 0.39; model importance signal 0.09,0.0863999919530391,8.63999919530391
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ppi_yoy,PPI (YoY),Inflation,2,75,0.5668323810651925,0.5194220579467554,0.5668323810651925,0.5194220579467554,positive,True,0.2850960545906697,0.048912388805639,1.0,0.553566521832188,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.57); Spearman 0.52; same macro theme; PCA loading signal 0.29; model importance signal 0.05,0.061888155371358396,6.18881553713584
BOC,inflation,core_cpi_yoy,Core CPI (YoY),unemployment_rate,Unemployment Rate,Labor,1,76,-0.6459093791012588,-0.7098731046438465,0.6459093791012588,0.7098731046438465,negative,False,0.3419538347147182,0.0232162693763409,1.0,0.5012458907017742,disinflationary_or_growth_sensitive,moderate negative Pearson correlation (-0.65); Spearman -0.71; PCA loading signal 0.34; model importance signal 0.02,0.056038763797226714,5.603876379722672
BOC,inflation,core_cpi_yoy,Core CPI (YoY),raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,75,0.40373858789627476,0.4195700479102324,0.40373858789627476,0.4195700479102324,positive,True,0.2611480041221345,0.0,1.0,0.47204222669291307,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.40); Spearman 0.42; same macro theme; PCA loading signal 0.26,0.05277382485256048,5.277382485256048
BOC,inflation,core_cpi_yoy,Core CPI (YoY),core_cpi_mom,Core CPI (MoM),Inflation,2,45,0.3815391131756947,0.3244457088498188,0.3815391131756947,0.3244457088498188,positive,True,0.3347891241472648,0.0189537532211449,0.625,0.42533505611677447,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.38); Spearman 0.32; same macro theme; PCA loading signal 0.33; model importance signal 0.02,0.047552012268943136,4.755201226894314
BOC,inflation,core_cpi_yoy,Core CPI (YoY),balance_of_trade,Balance of Trade,Trade,2,75,0.5091802690711111,0.5425994051164706,0.5091802690711111,0.5425994051164706,positive,False,0.2338486366816714,0.0320809841179821,1.0,0.4088204836473853,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.51); Spearman 0.54; PCA loading signal 0.23; model importance signal 0.03,0.045705700422817894,4.57057004228179
BOC,inflation,core_cpi_yoy,Core CPI (YoY),exports,Exports,Trade,2,75,0.503703637614988,0.4659664420581625,0.503703637614988,0.4659664420581625,positive,False,0.2886449814289138,0.0158658033638697,1.0,0.3989576629251912,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.50); Spearman 0.47; PCA loading signal 0.29; model importance signal 0.02,0.044603047431385656,4.460304743138566
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cpi_headline_mom,Headline CPI (MoM),Inflation,2,72,0.28388914936174164,0.2475030029093261,0.28388914936174164,0.2475030029093261,positive,True,0.1987183854875247,0.0370749923511034,1.0,0.39673940347782977,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.28); Spearman 0.25; same macro theme; PCA loading signal 0.20; model importance signal 0.04,0.04435504835644538,4.435504835644538
