central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
SNB,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,74,-0.8688063720500113,-0.8964272899830426,0.8688063720500113,0.8964272899830426,negative,False,0.5163344998946099,0.2763586637118418,1.0,0.6798485524236548,currency_positive,strong negative Pearson correlation (-0.87); Spearman -0.90; PCA loading signal 0.52; model importance signal 0.28,0.20420491544181626,20.420491544181626
ECB,gdp_growth,gdp_qoq,GDP (QoQ),manufacturing_pmi,Manufacturing PMI,Growth,2,21,0.5162218925829313,0.4752814697526489,0.5162218925829313,0.4752814697526489,positive,True,0.3022947039742371,0.065153433899673,0.2916666666666667,0.46457865887038285,currency_positive,moderate positive Pearson correlation (0.52); Spearman 0.48; same macro theme; PCA loading signal 0.30; model importance signal 0.07,0.1979876114046862,19.79876114046862
ECB,gdp_growth,gdp_qoq,GDP (QoQ),construction_output_yoy,Construction Output (YoY),Growth,2,22,0.3975140907238545,0.28039423366679733,0.3975140907238545,0.28039423366679733,positive,True,0.5252143092080225,0.0730766803331381,0.3055555555555556,0.43285024082014895,currency_positive,weak positive Pearson correlation (0.40); Spearman 0.28; same macro theme; PCA loading signal 0.53; model importance signal 0.07,0.18446603958154362,18.446603958154363
SNB,gdp_growth,gdp_qoq,GDP (QoQ),retail_sales_mom,Retail Sales (MoM),Growth,2,22,0.6521957993945069,0.2918336406973389,0.6521957993945069,0.2918336406973389,positive,True,0.7011432682807085,0.0465563827541606,0.3055555555555556,0.5387013968721102,currency_positive,moderate positive Pearson correlation (0.65); Spearman 0.29; same macro theme; PCA loading signal 0.70; model importance signal 0.05,0.17861698313892413,17.86169831389241
SNB,inflation,cpi_headline_yoy,Headline CPI (YoY),producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,2,74,0.738439845150266,0.7384486673964129,0.738439845150266,0.7384486673964129,positive,True,0.3653700866721592,0.1065163412314387,1.0,0.6730960806346956,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.74); Spearman 0.74; same macro theme; PCA loading signal 0.37; model importance signal 0.11,0.17250416306494318,17.25041630649432
ECB,inflation,core_cpi_yoy,Core HICP (YoY),cpi_headline_yoy,Headline HICP (YoY),Inflation,1,76,0.8145615788894087,0.854433884653234,0.8145615788894087,0.854433884653234,positive,True,0.4592560903435156,0.4018960790955702,1.0,0.786243680305549,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.81); Spearman 0.85; same macro theme; PCA loading signal 0.46; model importance signal 0.40,0.16275822438301638,16.27582243830164
SNB,inflation,cpi_headline_yoy,Headline CPI (YoY),unemployment_rate,Unemployment Rate,Labor,2,74,-0.8688063720500114,-0.8964272899830424,0.8688063720500114,0.8964272899830424,negative,False,0.4832177752201831,0.0397464861812,1.0,0.6336634718020488,disinflationary_or_growth_sensitive,strong negative Pearson correlation (-0.87); Spearman -0.90; PCA loading signal 0.48; model importance signal 0.04,0.16239819249127885,16.239819249127883
SNB,gdp_growth,gdp_qoq,GDP (QoQ),retail_sales_yoy,Retail Sales (YoY),Growth,2,22,0.520159873243844,0.42081996988115417,0.520159873243844,0.42081996988115417,positive,True,0.5032961671292822,0.0313256329056683,0.3055555555555556,0.486686179182174,currency_positive,moderate positive Pearson correlation (0.52); Spearman 0.42; same macro theme; PCA loading signal 0.50; model importance signal 0.03,0.16137032048863872,16.137032048863873
SNB,unemployment,unemployment_rate,Unemployment Rate,economic_sentiment_index,Economic Sentiment Index,Sentiment,2,74,0.7101480721424651,0.6809551869786951,0.7101480721424651,0.6809551869786951,positive,False,0.4509574005699118,0.0364543735804297,1.0,0.5366050346497357,currency_negative,strong positive Pearson correlation (0.71); Spearman 0.68; PCA loading signal 0.45; model importance signal 0.04,0.16117911163546592,16.11791116354659
RBNZ,inflation,cpi_headline_yoy,Headline CPI (YoY),cpi_headline_qoq,Headline CPI (QoQ),Inflation,1,26,0.7537695100699839,0.7151753987494343,0.7537695100699839,0.7151753987494343,positive,True,0.3694991761884383,0.0533669543098461,0.3611111111111111,0.6008592778285858,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.75); Spearman 0.72; same macro theme; PCA loading signal 0.37; model importance signal 0.05,0.1363230928990526,13.632309289905258
