central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,2,70,0.9446829115549439,0.8454329681433415,0.9446829115549439,0.8454329681433415,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),gdp_mom,GDP (MoM),Growth,1,68,0.8962279805045784,0.4480534564698185,0.8962279805045784,0.4480534564698185,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,2,71,0.8729672040528339,0.2221532287896352,0.8729672040528339,0.2221532287896352,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),wholesale_sales_mom,Wholesale Sales (MoM),Growth,2,72,0.8482296645382541,0.26068444943826424,0.8482296645382541,0.26068444943826424,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),employment_change,Employment Change,Labor,1,72,0.8423084220618444,0.4234108147175056,0.8423084220618444,0.4234108147175056,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),full_time_employment_change,Full-Time Employment Change,Labor,1,72,0.8016827523861862,0.2709964350437472,0.8016827523861862,0.2709964350437472,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),part_time_employment_change,Part-Time Employment Change,Labor,1,72,0.726363706464319,0.41926357198108094,0.726363706464319,0.41926357198108094,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,3,72,0.6514146293204652,0.2964599161761558,0.6514146293204652,0.2964599161761558,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),cpi_headline_mom,Headline CPI (MoM),Inflation,2,69,0.3561503245114838,0.1674672616478316,0.3561503245114838,0.1674672616478316,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),ivey_pmi_sa,Ivey PMI s.a.,Growth,2,70,0.35558682314845863,0.2709947799451047,0.35558682314845863,0.2709947799451047,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),ppi_mom,PPI (MoM),Inflation,2,69,0.2609150108013094,0.1347014294218023,0.2609150108013094,0.1347014294218023,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),services_pmi,Services PMI,Growth,2,28,-0.25711461128570795,-0.28210761658453604,0.25711461128570795,0.28210761658453604,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),composite_pmi,Composite PMI,Growth,2,27,-0.24717835981783617,-0.26335126300419365,0.24717835981783617,0.26335126300419365,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),new_motor_vehicle_sales,New Motor Vehicle Sales,Growth,3,73,0.24297744348039857,0.039108695315010385,0.24297744348039857,0.039108695315010385,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),manufacturing_pmi,Manufacturing PMI,Growth,2,46,0.1838754339708893,0.12028288788388075,0.1838754339708893,0.12028288788388075,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),core_cpi_mom,Core CPI (MoM),Inflation,2,42,-0.18278479585013255,-0.17717288878147613,0.18278479585013255,0.17717288878147613,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),vehicle_sales_mom,Vehicle Sales (MoM),Growth,3,19,-0.17126604143929597,-0.1695214470894897,0.17126604143929597,0.1695214470894897,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),retail_sales_yoy,Retail Sales (YoY),Growth,2,72,0.13555112936157354,0.22566193220595954,0.13555112936157354,0.22566193220595954,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),unemployment_rate,Unemployment Rate,Labor,1,72,0.11491470737485648,-0.008631031973823006,0.11491470737485648,0.008631031973823006,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,73,0.07170715723532416,0.09885616135675016,0.07170715723532416,0.09885616135675016,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),cfib_business_barometer,CFIB Business Barometer,Sentiment,2,51,0.06202701881272114,0.10209723204912431,0.06202701881272114,0.10209723204912431,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),budget_balance,Budget Balance,Growth,3,72,-0.061521140996806487,-0.029730213001075846,0.061521140996806487,0.029730213001075846,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),core_cpi_yoy,Core CPI (YoY),Inflation,1,72,-0.047200527959355476,-0.022127241772958932,0.047200527959355476,0.022127241772958932,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),balance_of_trade,Balance of Trade,Trade,2,73,0.0460469400920206,0.1238288035450603,0.0460469400920206,0.1238288035450603,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),imports,Imports,Trade,2,73,-0.036414948513218956,-0.04403196045083862,0.036414948513218956,0.04403196045083862,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),ppi_yoy,PPI (YoY),Inflation,2,72,0.02245333736179305,0.08915297142780919,0.02245333736179305,0.08915297142780919,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),new_housing_price_index_mom,New Housing Price Index (MoM),Housing,2,61,-0.022086058566102552,0.10539401693312127,0.022086058566102552,0.10539401693312127,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),exports,Exports,Trade,2,73,-0.020875562914860767,-0.017743718739935976,0.020875562914860767,0.017743718739935976,negative
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,2,61,0.019151620448491738,0.12191537814059532,0.019151620448491738,0.12191537814059532,positive
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),cpi_headline_yoy,Headline CPI (YoY),Inflation,1,72,-0.012067747005728538,0.02013520051408343,0.012067747005728538,0.02013520051408343,negative
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cpi_headline_yoy,Headline CPI (YoY),Inflation,1,76,0.9579643245315118,0.8976613990751803,0.9579643245315118,0.8976613990751803,positive
BOC,inflation,core_cpi_yoy,Core CPI (YoY),unemployment_rate,Unemployment Rate,Labor,1,76,-0.6459093791012588,-0.7098731046438465,0.6459093791012588,0.7098731046438465,negative
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ppi_yoy,PPI (YoY),Inflation,2,75,0.5668323810651925,0.5194220579467554,0.5668323810651925,0.5194220579467554,positive
BOC,inflation,core_cpi_yoy,Core CPI (YoY),balance_of_trade,Balance of Trade,Trade,2,75,0.5091802690711111,0.5425994051164706,0.5091802690711111,0.5425994051164706,positive
BOC,inflation,core_cpi_yoy,Core CPI (YoY),exports,Exports,Trade,2,75,0.503703637614988,0.4659664420581625,0.503703637614988,0.4659664420581625,positive
BOC,inflation,core_cpi_yoy,Core CPI (YoY),manufacturing_pmi,Manufacturing PMI,Growth,2,49,0.4650362583624404,0.16928543858275305,0.4650362583624404,0.16928543858275305,positive
BOC,inflation,core_cpi_yoy,Core CPI (YoY),new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,2,63,0.43104674504042,0.2803614874340536,0.43104674504042,0.2803614874340536,positive
BOC,inflation,core_cpi_yoy,Core CPI (YoY),composite_pmi,Composite PMI,Growth,2,29,-0.42631491832697255,-0.4809562077715981,0.42631491832697255,0.4809562077715981,negative
BOC,inflation,core_cpi_yoy,Core CPI (YoY),services_pmi,Services PMI,Growth,2,30,-0.4115738641259101,-0.4288918071038311,0.4115738641259101,0.4288918071038311,negative
BOC,inflation,core_cpi_yoy,Core CPI (YoY),raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,75,0.40373858789627476,0.4195700479102324,0.40373858789627476,0.4195700479102324,positive
BOC,inflation,core_cpi_yoy,Core CPI (YoY),budget_balance,Budget Balance,Growth,3,73,0.3962471564923605,0.43377026994935014,0.3962471564923605,0.43377026994935014,positive
