central_bank_code,target_family,top_5_weight_share,refinement_note,modeling_note
BOC,gdp_growth,0.32106744933788545,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOC,inflation,0.3046527482431278,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOC,unemployment,0.3157950380362998,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOE,gdp_growth,0.20983706749882133,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOE,inflation,0.2503540721267418,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOE,unemployment,0.22776314270188835,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOJ,gdp_growth,0.2675020111216344,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOJ,inflation,0.2573144398878223,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
BOJ,unemployment,0.23110054303986347,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
ECB,gdp_growth,0.6922208811741666,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
ECB,inflation,0.538195198689614,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
ECB,unemployment,0.5669714785180411,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
FED,gdp_growth,0.18192439140762243,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
FED,inflation,0.2504410226330857,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
FED,unemployment,0.21466489967025812,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
RBA,gdp_growth,0.21967702756478413,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
RBA,inflation,0.3117229312313937,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
RBA,unemployment,0.22537219865042885,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
RBNZ,gdp_growth,0.5051459643758859,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
RBNZ,inflation,0.5776932605104959,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
RBNZ,unemployment,0.5395112400590693,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
SNB,gdp_growth,0.6719054145572783,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
SNB,inflation,0.6941041039266521,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
SNB,unemployment,0.674918174294774,Weights are diversified; next refinement should test regime-specific performance.,Use rolling-window validation and compare against the existing currency stance score before production use.
