central_bank_code,country,indicator_key,indicator,primary_category,frequency,importance,observations,mean,median,std,min,max,skew,first_date,last_date,outlier_iqr_count,range
BOC,CA,budget_balance,Budget Balance,Growth,monthly,3,74,-7.862256756756757,-3.7750000000000004,12.304900932578455,-44.41,9.53,-1.3965631641084157,2019-11-01,2026-01-01,0,53.94
BOC,CA,composite_pmi,Composite PMI,Growth,monthly,2,29,47.02068965517241,47.0,2.3496776846356773,41.7,51.5,-0.26725173376271105,2023-10-01,2026-03-01,0,9.799999999999997
BOC,CA,gdp_mom,GDP (MoM),Growth,monthly,1,71,0.13661971830985917,0.2,1.9532565800748336,-11.6,6.5,-3.2415409039108773,2019-11-01,2026-02-01,5,18.1
BOC,CA,ivey_pmi,Ivey PMI,Growth,monthly,2,4,52.275,51.4,3.0203476621077905,49.7,56.6,1.4801861897779998,2025-12-01,2026-03-01,0,6.899999999999999
BOC,CA,ivey_pmi_nsa,Ivey PMI n.s.a.,Growth,monthly,3,4,50.775,51.65,6.669020417822495,43.3,56.5,-0.258862437941347,2025-12-01,2026-03-01,0,13.200000000000003
BOC,CA,ivey_pmi_sa,Ivey PMI s.a.,Growth,monthly,2,72,55.07222222222222,54.4,9.172251819639468,22.8,74.2,-0.7629032309194596,2019-12-01,2025-11-01,1,51.400000000000006
BOC,CA,manufacturing_pmi,Manufacturing PMI,Growth,monthly,2,49,49.66326530612245,49.3,2.7627502810869897,45.3,58.9,1.264040528793375,2022-03-01,2026-03-01,2,13.600000000000001
BOC,CA,manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,monthly,2,75,0.26133333333333336,0.3,4.8585642783487835,-28.5,20.7,-1.7618454755307886,2019-11-01,2026-03-01,3,49.2
BOC,CA,new_motor_vehicle_sales,New Motor Vehicle Sales,Growth,monthly,3,76,143.50686842105264,148.1105,27.801670663633207,47.0,195.7,-0.581206827870118,2019-11-01,2026-02-01,0,148.7
BOC,CA,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,monthly,2,72,0.3541666666666667,0.25,3.8702526576184693,-22.0,15.7,-1.6990096664606507,2019-11-01,2026-01-01,4,37.7
BOC,CA,retail_sales_mom,Retail Sales (MoM),Growth,monthly,1,73,0.39452054794520547,0.4,5.096646239629845,-26.4,23.7,-0.18320937020082673,2019-11-01,2026-01-01,5,50.099999999999994
BOC,CA,retail_sales_yoy,Retail Sales (YoY),Growth,monthly,2,74,4.47972972972973,3.65,9.167721512686374,-32.5,56.7,1.7207785433267584,2019-11-01,2026-01-01,5,89.2
BOC,CA,services_pmi,Services PMI,Growth,monthly,2,30,46.88333333333333,46.6,2.4545641277976964,41.2,51.2,-0.2813688553072921,2023-10-01,2026-03-01,0,10.0
BOC,CA,vehicle_sales_mom,Vehicle Sales (MoM),Growth,monthly,3,25,157.428,167.0,25.596834439698462,114.4,195.7,-0.3652670825154651,2024-02-14,2026-02-01,0,81.29999999999998
BOC,CA,wholesale_sales_mom,Wholesale Sales (MoM),Growth,monthly,2,80,0.47624999999999995,0.4,3.5608007828562767,-21.6,18.5,-1.3381762431526296,2019-11-01,2026-02-01,2,40.1
BOC,CA,new_housing_price_index_mom,New Housing Price Index (MoM),Housing,monthly,2,65,0.25846153846153846,0.1,0.5282318110014259,-0.4,1.9,1.2574898998718615,2019-12-01,2026-03-01,0,2.3
BOC,CA,new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,monthly,2,63,3.773015873015873,1.4,4.63382397472932,-1.0,12.2,0.6757089026203497,2019-12-01,2025-04-01,0,13.2
