central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations,tested_max_lag,best_granger_lag,min_granger_p_value,granger_significant_05
BOC,retail_sales_mom,Retail Sales (MoM),Growth,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,0,0.9446829115549437,0.9446829115549437,70,6,3,1.2262094011731935e-12,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_input_yoy,PPI Input (YoY),Inflation,6,0.9316263641289709,0.9316263641289709,62,6,3,8.47007942717891e-10,True
FED,unemployment_rate,Unemployment Rate,Labor,adp_employment_change,ADP Employment Change,Labor,0,-0.7373595939126923,0.7373595939126923,34,5,2,1.4023799478153697e-09,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,4,0.9526467870080663,0.9526467870080663,63,6,1,5.919672501021738e-09,True
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.8856910770431676,0.8856910770431676,69,6,1,1.8175243670484418e-08,True
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,6,0.775959337422969,0.775959337422969,69,6,1,3.0325978521517275e-08,True
BOE,gdp_mom,GDP (MoM),Growth,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,0,0.6995482984012537,0.6995482984012537,57,6,6,1.6004506404049045e-07,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_output_yoy,PPI Output (YoY),Inflation,4,0.9278949195150377,0.9278949195150377,64,6,1,1.8594112530405673e-07,True
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,manufacturing_payrolls,Manufacturing Payrolls,Labor,6,0.6641712213398357,0.6641712213398357,30,6,6,3.481875775531653e-07,True
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,private_nonfarm_payrolls,Private Nonfarm Payrolls,Labor,6,0.6675706831011958,0.6675706831011958,30,6,6,4.2963208157121085e-07,True
FED,nfp,Non-Farm Payrolls,Labor,challenger_job_cuts,Challenger Job Cuts,Labor,0,-0.7821496533477501,0.7821496533477501,35,5,2,7.202893204984246e-07,True
BOC,gdp_mom,GDP (MoM),Growth,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,0,0.8056575920804453,0.8056575920804453,68,6,4,9.787143772972027e-07,True
BOC,gdp_mom,GDP (MoM),Growth,wholesale_sales_mom,Wholesale Sales (MoM),Growth,0,0.8489873730529127,0.8489873730529127,70,6,5,2.418158383694826e-06,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_core_output_mom,PPI Core Output (MoM),Inflation,6,0.7817937818345618,0.7817937818345618,49,6,1,4.83660459986174e-06,True
