central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations
FED,nfp,Non-Farm Payrolls,Labor,private_nonfarm_payrolls,Private Nonfarm Payrolls,Labor,0,0.9991234239868821,0.9991234239868821,37
FED,nfp,Non-Farm Payrolls,Labor,manufacturing_payrolls,Manufacturing Payrolls,Labor,0,0.9958420019590108,0.9958420019590108,37
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,retail_price_index_yoy,Retail Price Index (YoY),Inflation,0,0.9957769964407347,0.9957769964407347,76
BOE,retail_sales_mom,Retail Sales (MoM),Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,0,0.9916696892319292,0.9916696892319292,73
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,0,0.9838473025619171,0.9838473025619171,73
FED,core_cpi_yoy,Core CPI (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.9662474407824881,0.9662474407824881,22
FED,nfp,Non-Farm Payrolls,Labor,adp_employment_change,ADP Employment Change,Labor,0,0.965856634377786,0.965856634377786,34
FED,nfp,Non-Farm Payrolls,Labor,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,0,-0.9655433125532876,0.9655433125532876,37
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.965492913245944,0.965492913245944,22
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,0,0.9626666913003578,0.9626666913003578,30
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.9607477111599744,0.9607477111599744,20
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,4,0.9526467870080663,0.9526467870080663,63
BOE,services_pmi,Services PMI,Growth,composite_pmi,Composite PMI,Growth,0,0.9480665259598818,0.9480665259598818,29
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,0,0.9478638112885828,0.9478638112885828,36
BOE,gdp_qoq,GDP (QoQ),Growth,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,0,0.9473166529371373,0.9473166529371373,22
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,1,0.946594352255749,0.946594352255749,34
BOC,retail_sales_mom,Retail Sales (MoM),Growth,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,0,0.9446829115549437,0.9446829115549437,70
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,1,0.9439288046364702,0.9439288046364702,33
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,0,0.9428691365990064,0.9428691365990064,34
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,1,0.941813917740938,0.941813917740938,33
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,core_rpi_yoy,Core RPI (YoY),Inflation,0,0.9378150386525165,0.9378150386525165,24
FED,core_cpi_yoy,Core CPI (YoY),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,2,0.9336727940271977,0.9336727940271977,34
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,retail_price_index_yoy,Retail Price Index (YoY),Inflation,3,0.9322102226052241,0.9322102226052241,73
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,ism_manufacturing_new_orders,ISM Manufacturing New Orders,Growth,0,0.9319330855499426,0.9319330855499426,33
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_input_yoy,PPI Input (YoY),Inflation,6,0.9316263641289709,0.9316263641289709,62
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,1,0.9311251371837455,0.9311251371837455,34
BOE,gdp_yoy,GDP (YoY),Growth,industrial_production_yoy,Industrial Production (YoY),Growth,0,0.9296197876439972,0.9296197876439972,73
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_output_yoy,PPI Output (YoY),Inflation,4,0.9278949195150377,0.9278949195150377,64
BOE,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,0,0.9230899656844133,0.9230899656844133,73
ECB,cpi_headline_yoy,Headline HICP (YoY),Inflation,cpi_index,Consumer Price Index,Inflation,6,-0.9230507641962948,0.9230507641962948,44
FED,unemployment_rate,Unemployment Rate,Labor,government_payrolls,Government Payrolls,Labor,0,-0.9179791207602107,0.9179791207602107,36
FED,core_cpi_yoy,Core CPI (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,3,0.9178867248697032,0.9178867248697032,31
BOC,gdp_mom,GDP (MoM),Growth,manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,0,0.9174787505075283,0.9174787505075283,69
RBA,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,1,0.914779907397062,0.914779907397062,23
FED,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,3,0.9129362551564242,0.9129362551564242,31
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,1,0.91113399548679,0.91113399548679,24
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,3,0.9074538734501614,0.9074538734501614,32
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,3,0.9066108283463181,0.9066108283463181,32
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.9064707692035909,0.9064707692035909,20
RBNZ,participation_rate,Labor Force Participation Rate,Labor,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,0,0.9013883026421741,0.9013883026421741,25
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,3,0.9004382400716991,0.9004382400716991,35
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,1,0.898087726783637,0.898087726783637,33
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,4,0.8936114171565843,0.8936114171565843,33
SNB,cpi_headline_yoy,Headline CPI (YoY),Inflation,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,6,0.8922059181365025,0.8922059181365025,68
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,5,0.8890514661994157,0.8890514661994157,32
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,philly_fed_mfg,Philadelphia Fed Manufacturing Index,Growth,0,0.8884385268014457,0.8884385268014457,27
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.8856910770431676,0.8856910770431676,69
RBNZ,unemployment_rate,Unemployment Rate,Labor,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,6,0.8845453405334797,0.8845453405334797,19
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,sp_global_manufacturing_pmi,S&P Global Manufacturing PMI,Growth,0,0.8842297401611829,0.8842297401611829,21
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,3,0.8799486991943265,0.8799486991943265,32
RBA,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,0,0.8791464191429698,0.8791464191429698,25
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,0,0.874503384316635,0.874503384316635,24
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,5,0.873522510399167,0.873522510399167,33
BOC,retail_sales_mom,Retail Sales (MoM),Growth,manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,0,0.8729672040528338,0.8729672040528338,71
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,3,0.8723191046071928,0.8723191046071928,32
RBA,monthly_cpi_indicator,Monthly CPI Indicator,Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,3,0.8706241291455152,0.8706241291455152,33
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,0,0.8682017160814696,0.8682017160814696,25
FED,core_cpi_yoy,Core CPI (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,5,0.85830449080185,0.85830449080185,30
