central_bank_code,component,explained_variance_ratio,cumulative_explained_variance,indicator_count,observation_count
BOC,PC1,0.2683089613684723,0.2683089613684723,31,90
BOC,PC2,0.19586131415345456,0.4641702755219269,31,90
BOC,PC3,0.16123040365788086,0.6254006791798078,31,90
BOC,PC4,0.07677742505505553,0.7021781042348634,31,90
BOC,PC5,0.05931052153801871,0.7614886257728821,31,90
BOE,PC1,0.24217102963631298,0.24217102963631298,40,99
BOE,PC2,0.16233340257252388,0.40450443220883686,40,99
BOE,PC3,0.13361060681985845,0.5381150390286953,40,99
BOE,PC4,0.08735423549654271,0.625469274525238,40,99
BOE,PC5,0.07645917820416297,0.701928452729401,40,99
BOJ,PC1,0.33775245114432045,0.33775245114432045,44,453
BOJ,PC2,0.15405725822645394,0.4918097093707744,44,453
BOJ,PC3,0.09919625734439817,0.5910059667151726,44,453
BOJ,PC4,0.08957440741176874,0.6805803741269413,44,453
BOJ,PC5,0.04461357171041593,0.7251939458373572,44,453
ECB,PC1,0.34349455610307095,0.34349455610307095,15,82
ECB,PC2,0.19203361751395376,0.5355281736170248,15,82
ECB,PC3,0.13385527361900118,0.6693834472360259,15,82
ECB,PC4,0.09969002589567195,0.7690734731316979,15,82
ECB,PC5,0.06491425577074628,0.8339877289024442,15,82
FED,PC1,0.3684929563398401,0.3684929563398401,62,327
FED,PC2,0.18771410952810832,0.5562070658679484,62,327
FED,PC3,0.13957636409054297,0.6957834299584914,62,327
FED,PC4,0.0731343800936938,0.7689178100521852,62,327
FED,PC5,0.06100982203671639,0.8299276320889015,62,327
RBA,PC1,0.23858644298248424,0.23858644298248424,43,93
RBA,PC2,0.19279863125998878,0.431385074242473,43,93
RBA,PC3,0.12996694506455,0.561352019307023,43,93
RBA,PC4,0.08065341630963446,0.6420054356166576,43,93
RBA,PC5,0.048731668181091724,0.6907371037977493,43,93
RBNZ,PC1,0.3982993806239478,0.3982993806239478,15,134
RBNZ,PC2,0.17586218798015618,0.574161568604104,15,134
RBNZ,PC3,0.12574079729850238,0.6999023659026063,15,134
RBNZ,PC4,0.06631723864547615,0.7662196045480825,15,134
RBNZ,PC5,0.06300165100993294,0.8292212555580154,15,134
SNB,PC1,0.3053266465473028,0.3053266465473028,11,78
SNB,PC2,0.23617589695232893,0.5415025434996317,11,78
SNB,PC3,0.12014727269829704,0.6616498161979287,11,78
SNB,PC4,0.09087606274202462,0.7525258789399534,11,78
SNB,PC5,0.07502206454944466,0.827547943489398,11,78
