central_bank_code,component,indicator_key,indicator,primary_category,loading,abs_loading
BOC,PC1,employment_change,Employment Change,Labor,0.3072153942361847,0.3072153942361847
BOC,PC1,gdp_mom,GDP (MoM),Growth,0.3029410682734002,0.3029410682734002
BOC,PC1,manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,0.29611411722665953,0.29611411722665953
BOC,PC1,full_time_employment_change,Full-Time Employment Change,Labor,0.2939698828103399,0.2939698828103399
BOC,PC1,wholesale_sales_mom,Wholesale Sales (MoM),Growth,0.28250791234739137,0.28250791234739137
BOC,PC1,retail_sales_mom,Retail Sales (MoM),Growth,0.2821038372612122,0.2821038372612122
BOC,PC1,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,0.2768860914433692,0.2768860914433692
BOC,PC1,part_time_employment_change,Part-Time Employment Change,Labor,0.2598300173507031,0.2598300173507031
BOC,PC1,ivey_pmi_sa,Ivey PMI s.a.,Growth,0.23136696623002762,0.23136696623002762
BOC,PC1,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,0.217349393707546,0.217349393707546
BOC,PC1,cpi_headline_mom,Headline CPI (MoM),Inflation,0.19871838548752477,0.19871838548752477
BOC,PC1,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,0.18059794282292468,0.18059794282292468
BOC,PC2,manufacturing_pmi,Manufacturing PMI,Growth,0.36791830969554884,0.36791830969554884
BOC,PC2,core_cpi_mom,Core CPI (MoM),Inflation,0.3347891241472648,0.3347891241472648
BOC,PC2,imports,Imports,Trade,-0.32768570851205253,0.32768570851205253
BOC,PC2,new_housing_price_index_mom,New Housing Price Index (MoM),Housing,0.3142587968528253,0.3142587968528253
BOC,PC2,new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,0.29511925939487493,0.29511925939487493
BOC,PC2,exports,Exports,Trade,-0.28864498142891387,0.28864498142891387
BOC,PC2,cfib_business_barometer,CFIB Business Barometer,Sentiment,0.26452663556971656,0.26452663556971656
BOC,PC2,vehicle_sales_mom,Vehicle Sales (MoM),Growth,-0.20220844953276798,0.20220844953276798
BOC,PC2,new_motor_vehicle_sales,New Motor Vehicle Sales,Growth,-0.20151102341355626,0.20151102341355626
BOC,PC2,ppi_yoy,PPI (YoY),Inflation,0.17760570921575336,0.17760570921575336
BOC,PC2,unemployment_rate,Unemployment Rate,Labor,0.1722843932933105,0.1722843932933105
BOC,PC2,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,0.1579838141991155,0.1579838141991155
BOC,PC3,cpi_headline_yoy,Headline CPI (YoY),Inflation,-0.3886655144833463,0.3886655144833463
BOC,PC3,core_cpi_yoy,Core CPI (YoY),Inflation,-0.3682846424639844,0.3682846424639844
BOC,PC3,unemployment_rate,Unemployment Rate,Labor,0.3419538347147182,0.3419538347147182
BOC,PC3,ppi_yoy,PPI (YoY),Inflation,-0.2850960545906697,0.2850960545906697
BOC,PC3,exports,Exports,Trade,-0.2764128765294349,0.2764128765294349
BOC,PC3,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,-0.26114800412213457,0.26114800412213457
BOC,PC3,budget_balance,Budget Balance,Growth,-0.25163799074461923,0.25163799074461923
BOC,PC3,balance_of_trade,Balance of Trade,Trade,-0.2338486366816714,0.2338486366816714
BOC,PC3,imports,Imports,Trade,-0.20409156614942564,0.20409156614942564
BOC,PC3,new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,-0.18834132968928521,0.18834132968928521
BOC,PC3,retail_sales_yoy,Retail Sales (YoY),Growth,-0.16668078230779393,0.16668078230779393
BOC,PC3,retail_sales_mom,Retail Sales (MoM),Growth,0.15588843782235826,0.15588843782235826
BOE,PC1,ppi_input_yoy,PPI Input (YoY),Inflation,0.2980000646450012,0.2980000646450012
