regime,central_bank_code,primary_category,observations,indicators,mean_normalized,std_normalized,outlier_iqr_count
pre_2022,BOC,Growth,229,9,-0.07818236536511225,1.5220341562550188,25
pre_2022,BOC,Housing,48,2,0.6375517601162409,0.996239436827285,0
pre_2022,BOC,Inflation,177,7,-0.11294752713843134,1.0982364391056643,0
pre_2022,BOC,Labor,100,4,0.20074935115869888,1.6289774293147883,15
pre_2022,BOC,Sentiment,3,1,1.1568330281498713,0.16034375090205194,0
pre_2022,BOC,Trade,78,3,-0.8352453935142099,0.868496172182624,0
pre_2022,BOE,Growth,227,10,-0.03657226163947329,1.5975412765251922,57
pre_2022,BOE,Housing,74,3,0.47483799782083747,0.7207281100238191,0
pre_2022,BOE,Inflation,282,12,-0.349454056090473,0.7750640564072874,1
pre_2022,BOE,Labor,129,5,-0.22395032449715263,1.314407001397252,3
pre_2022,BOE,Monetary Policy,2,1,-2.7299720148084226,0.0,2
pre_2022,BOE,Sentiment,55,3,0.2295911759506848,1.2036244270441867,0
pre_2022,BOJ,Growth,519,21,-0.22928045001698738,1.3444501109587885,25
pre_2022,BOJ,Inflation,164,7,-0.8071946722508603,0.8707967140917839,0
pre_2022,BOJ,Labor,25,1,0.7944526324410387,1.1973358052786074,0
pre_2022,BOJ,Monetary Policy,17,1,-0.6006053480087788,0.0,0
pre_2022,BOJ,Sentiment,147,10,-0.6277518381824639,1.360411351563274,15
pre_2022,BOJ,Trade,206,2,0.015102138630278575,0.9939615234715037,3
pre_2022,ECB,Growth,60,3,0.20125698891717114,1.5365189692207197,11
pre_2022,ECB,Inflation,100,4,-0.39107289011072477,0.8017420541480914,0
pre_2022,ECB,Labor,26,1,1.2542682208988511,0.6118593340319924,0
pre_2022,ECB,Sentiment,74,3,0.5406996481134169,0.9552824744300216,4
pre_2022,FED,Growth,183,10,0.18602695046317835,1.4399512872465534,13
pre_2022,FED,Housing,16,1,-0.013852589302279778,1.1385950576775874,5
pre_2022,FED,Inflation,300,22,-0.2646396673910849,1.1035094867394633,1
pre_2022,FED,Labor,339,17,0.3601182375057832,1.5464152375272397,92
pre_2022,FED,Monetary Policy,12,1,-1.019504133403257,0.0,0
pre_2022,FED,Sentiment,29,2,0.8963694844402635,0.7279416656500141,0
pre_2022,RBA,Growth,199,10,-0.06361666559679403,1.4069796882705938,16
pre_2022,RBA,Housing,28,2,0.1618446048067355,0.8999684221370902,0
pre_2022,RBA,Inflation,139,13,-0.6115956728346282,0.927725257272402,3
pre_2022,RBA,Labor,100,4,0.22886920367522237,1.4981492344877958,6
pre_2022,RBA,Sentiment,73,3,0.2933974787221977,1.3894255416268426,2
pre_2022,RBA,Trade,87,4,0.039237304006503465,1.0252631022377676,0
pre_2022,RBNZ,Growth,121,6,-0.38948418541364876,1.0696499177967758,20
pre_2022,RBNZ,Inflation,18,2,-0.396072743446362,1.015543878896479,0
pre_2022,RBNZ,Labor,44,5,-0.4325556458617755,0.9260143239369477,0
pre_2022,SNB,Growth,85,4,0.06577311791857746,1.4152262651163474,14
pre_2022,SNB,Inflation,89,4,-0.27532980363191173,0.990926137668419,0
pre_2022,SNB,Labor,25,1,0.843242839675515,0.796307549901893,0
pre_2022,SNB,Sentiment,31,2,1.1113907920759396,0.8988097205998298,2
2022_2023,BOC,Growth,240,12,0.04677992997066367,0.6679847880513708,2
2022_2023,BOC,Housing,44,2,-0.08449296849632579,0.9095925636813263,0
2022_2023,BOC,Inflation,185,8,0.30330096587357147,1.141497322731708,0
2022_2023,BOC,Labor,96,4,-0.17667479238478287,0.49450077766984823,0
2022_2023,BOC,Sentiment,24,1,0.09850568548955892,0.7458191611026613,0
2022_2023,BOC,Trade,72,3,0.5556521894987481,0.5487370581249053,0
2022_2023,BOE,Growth,219,13,-0.10367724861520204,0.43577698359319794,3
2022_2023,BOE,Housing,69,3,-0.04061798258634535,1.3765480123569955,0
2022_2023,BOE,Inflation,274,12,0.6827599822963798,1.151397402062537,5
2022_2023,BOE,Labor,131,6,0.09862835317851674,0.9105324917839146,0
2022_2023,BOE,Sentiment,56,3,-0.1668373091455159,1.0922754947215356,0
2022_2023,BOJ,Growth,489,23,0.039030726609546894,0.7823981558327762,0
2022_2023,BOJ,Inflation,162,7,0.5518093945248194,0.9055641729628386,0
2022_2023,BOJ,Labor,24,1,-0.24642743691458216,0.5790122700383251,0
2022_2023,BOJ,Monetary Policy,16,1,-0.6006053480087788,0.0,0
2022_2023,BOJ,Sentiment,144,10,0.19876420227532665,0.5970722207202778,0
2022_2023,BOJ,Trade,210,2,-0.06791577222600163,0.8341476714264013,1
2022_2023,ECB,Growth,76,6,0.07094774066423445,0.7689497025436687,0
2022_2023,ECB,Inflation,118,5,0.6025313667318888,1.0664603964421766,1
2022_2023,ECB,Labor,24,1,-0.4513183396670433,0.19706345191971836,0
2022_2023,ECB,Sentiment,72,3,-0.5205939120977148,0.9189109776747505,0
2022_2023,FED,Growth,212,14,-0.12530301640916913,0.8171512267449574,0
2022_2023,FED,Housing,15,1,0.21945111533553124,1.0646242187716772,6
2022_2023,FED,Inflation,283,25,0.3187850444750226,0.962610292385459,0
2022_2023,FED,Labor,325,18,-0.1571287585205906,0.4181531912396638,0
2022_2023,FED,Monetary Policy,10,1,0.6583973258466835,0.7027363138035988,0
2022_2023,FED,Sentiment,28,2,-0.7268442172849182,0.4341540863241636,0
2022_2023,RBA,Growth,234,12,0.13381881575911458,0.8174944710645426,1
2022_2023,RBA,Housing,62,3,-0.16318128032857457,1.3249716828841824,6
2022_2023,RBA,Inflation,173,15,0.7121187634883532,0.9360118214838501,0
2022_2023,RBA,Labor,96,4,-0.18060524713225412,0.6813873203425023,0
2022_2023,RBA,Monetary Policy,1,1,1.270264428697224,,0
2022_2023,RBA,Sentiment,68,3,-0.23797319061441627,0.7256815520987252,0
2022_2023,RBA,Trade,79,4,0.351552231669802,1.006038212280896,0
2022_2023,RBNZ,Growth,128,6,-0.005111405442473455,0.993688668831135,15
2022_2023,RBNZ,Inflation,21,3,1.0372905048929384,0.6088187313343218,0
2022_2023,RBNZ,Labor,39,5,0.494341557584319,0.9887240906595327,0
2022_2023,SNB,Growth,78,4,-0.23093384235596423,0.7184936849773776,1
2022_2023,SNB,Inflation,90,4,0.6529283073309845,1.013188024668962,0
2022_2023,SNB,Labor,24,1,-1.0844841198174129,0.4023285027214131,0
2022_2023,SNB,Sentiment,32,2,-0.6759415114280125,0.8200928418729987,0
2024_plus,BOC,Growth,339,15,0.019694921757083938,0.6796248604327368,0
2024_plus,BOC,Housing,36,2,-0.7467998297705897,0.3326972476001775,0
2024_plus,BOC,Inflation,207,8,-0.17448776030487131,0.6362381056488579,0
2024_plus,BOC,Labor,108,4,-0.028834768953062254,0.25485942047276416,0
2024_plus,BOC,Monetary Policy,2,1,0.0,0.0,0
2024_plus,BOC,Sentiment,28,1,-0.20837984057853567,1.149741152975707,1
