target_row_id,source_release_id,indicator_id,country_code,currency_code,headline_target_type,indicator_key,indicator_name,reference_period_start,release_timestamp_utc,actual_value,prior_actual_value,direction_target,direction_label,momentum_value,prior_momentum_value,acceleration_target,acceleration_label,binary_up_target,target_quality_flags,processed_at
1,33750,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-02-01,2020-03-11T12:30:00+00:00,2.300000,,,,,,,,,"[""direction_target_short_history"", ""acceleration_target_short_history""]",2026-04-24T07:51:03.322738+00:00
2,33507,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-03-01,2020-04-10T12:30:00+00:00,1.500000,2.300000,-1,down,,,,,0,"[""acceleration_target_short_history""]",2026-04-24T07:51:03.322738+00:00
3,33270,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-04-01,2020-05-12T12:30:00+00:00,0.300000,1.500000,-1,down,-0.400000,,,,0,"[""acceleration_target_short_history""]",2026-04-24T07:51:03.322738+00:00
4,33014,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-05-01,2020-06-10T12:30:00+00:00,0.100000,0.300000,-1,down,1.000000,-0.400000,1,accelerating,0,[],2026-04-24T07:51:03.322738+00:00
5,34795,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-08-01,2020-09-11T12:30:00+00:00,1.300000,0.100000,1,up,1.400000,1.000000,1,accelerating,1,[],2026-04-24T07:51:03.322738+00:00
6,34532,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-09-01,2020-10-13T12:30:00+00:00,1.400000,1.300000,1,up,-1.100000,1.400000,-1,decelerating,1,[],2026-04-24T07:51:03.322738+00:00
7,34254,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-10-01,2020-11-12T13:30:00+00:00,1.200000,1.400000,-1,down,-0.300000,-1.100000,1,accelerating,0,[],2026-04-24T07:51:03.322738+00:00
8,33986,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2020-11-01,2020-12-10T13:30:00+00:00,1.200000,1.200000,0,flat,0.200000,-0.300000,1,accelerating,0,[],2026-04-24T07:51:03.322738+00:00
9,35506,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2021-03-01,2021-04-13T12:30:00+00:00,2.600000,1.200000,1,up,1.400000,0.200000,1,accelerating,1,[],2026-04-24T07:51:03.322738+00:00
10,35249,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2021-04-01,2021-05-12T12:30:00+00:00,4.200000,2.600000,1,up,0.200000,1.400000,-1,decelerating,1,[],2026-04-24T07:51:03.322738+00:00
11,34983,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2021-05-01,2021-06-10T12:30:00+00:00,5.000000,4.200000,1,up,-0.800000,0.200000,-1,decelerating,1,[],2026-04-24T07:51:03.322738+00:00
12,36590,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2021-09-01,2021-10-13T12:30:00+00:00,5.400000,5.000000,1,up,-0.400000,-0.800000,1,accelerating,1,[],2026-04-24T07:51:03.322738+00:00
13,36289,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2021-10-01,2021-11-10T13:30:00+00:00,6.200000,5.400000,1,up,0.400000,-0.400000,1,accelerating,1,[],2026-04-24T07:51:03.322738+00:00
14,35980,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2021-11-01,2021-12-10T13:30:00+00:00,6.800000,6.200000,1,up,-0.200000,0.400000,-1,decelerating,1,[],2026-04-24T07:51:03.322738+00:00
15,37548,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2022-03-01,2022-04-12T12:30:00+00:00,8.500000,6.800000,1,up,1.100000,-0.200000,1,accelerating,1,[],2026-04-24T07:51:03.322738+00:00
16,37263,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2022-04-01,2022-05-11T12:30:00+00:00,8.300000,8.500000,-1,down,-1.900000,1.100000,-1,decelerating,0,[],2026-04-24T07:51:03.322738+00:00
17,36984,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2022-05-01,2022-06-10T12:30:00+00:00,8.600000,8.300000,1,up,0.500000,-1.900000,1,accelerating,1,[],2026-04-24T07:51:03.322738+00:00
18,38508,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2022-09-01,2022-10-13T12:30:00+00:00,8.200000,8.600000,-1,down,-0.700000,0.500000,-1,decelerating,0,[],2026-04-24T07:51:03.322738+00:00
19,38236,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2022-10-01,2022-11-10T13:30:00+00:00,7.700000,8.200000,-1,down,-0.100000,-0.700000,1,accelerating,0,[],2026-04-24T07:51:03.322738+00:00
20,37940,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2022-11-01,2022-12-13T13:30:00+00:00,7.100000,7.700000,-1,down,-0.100000,-0.100000,0,flat,0,[],2026-04-24T07:51:03.322738+00:00
21,39557,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2023-03-01,2023-04-12T12:30:00+00:00,5.000000,7.100000,-1,down,-1.500000,-0.100000,-1,decelerating,0,[],2026-04-24T07:51:03.322738+00:00
22,39294,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2023-04-01,2023-05-10T12:30:00+00:00,4.900000,5.000000,-1,down,2.000000,-1.500000,1,accelerating,0,[],2026-04-24T07:51:03.322738+00:00
23,38979,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2023-05-01,2023-06-13T12:30:00+00:00,4.000000,4.900000,-1,down,-0.800000,2.000000,-1,decelerating,0,[],2026-04-24T07:51:03.322738+00:00
24,40577,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2023-09-01,2023-10-12T12:30:00+00:00,3.700000,4.000000,-1,down,0.600000,-0.800000,1,accelerating,0,[],2026-04-24T07:51:03.322738+00:00
25,40243,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2023-10-01,2023-11-14T13:30:00+00:00,3.200000,3.700000,-1,down,-0.200000,0.600000,-1,decelerating,0,[],2026-04-24T07:51:03.322738+00:00
26,39948,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2023-11-01,2023-12-12T13:30:00+00:00,3.100000,3.200000,-1,down,0.400000,-0.200000,1,accelerating,0,[],2026-04-24T07:51:03.322738+00:00
27,41343,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2024-04-01,2024-05-15T12:30:00+00:00,3.400000,3.100000,1,up,0.400000,0.400000,0,flat,1,[],2026-04-24T07:51:03.322738+00:00
28,41000,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2024-05-01,2024-06-12T12:30:00+00:00,3.300000,3.400000,-1,down,-0.400000,0.400000,-1,decelerating,0,[],2026-04-24T07:51:03.322738+00:00
29,42359,19,US,USD,CPI,cpi_headline_yoy,Headline CPI (YoY),2024-10-01,2024-11-13T13:30:00+00:00,2.600000,3.300000,-1,down,-0.600000,-0.400000,-1,decelerating,0,[],2026-04-24T07:51:03.322738+00:00
