indicator_id,country_code,currency_code,indicator_key,indicator_name,macro_theme,primary_category,frequency,release_lag_days_median,release_lag_days_avg,is_headline_indicator,is_sub_indicator,headline_target_type,candidate_for_targets,actual_count,first_release_at_utc,last_release_at_utc,processed_at
17,US,USD,core_cpi_yoy,Core CPI (YoY),Inflation,inflation,monthly,41.00,41.24,True,False,,"[""CPI""]",36,2020-03-11T12:30:00+00:00,2026-04-10T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
18,US,USD,core_cpi_mom,Core CPI (MoM),Inflation,inflation,monthly,41.00,41.24,True,False,,"[""CPI""]",34,2020-03-11T12:30:00+00:00,2026-04-10T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
19,US,USD,cpi_headline_yoy,Headline CPI (YoY),Inflation,inflation,monthly,41.00,41.25,True,False,CPI,"[""CPI""]",41,2020-03-11T12:30:00+00:00,2026-04-10T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
20,US,USD,cpi_headline_mom,Headline CPI (MoM),Inflation,inflation,monthly,41.00,41.24,False,True,CPI,"[""CPI""]",32,2020-03-11T12:30:00+00:00,2026-04-10T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
21,US,USD,ppi_yoy,PPI (YoY),Inflation,inflation,monthly,43.00,45.03,False,True,,"[""CPI""]",36,2020-03-12T12:30:00+00:00,2026-04-14T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
22,US,USD,core_ppi_yoy,Core PPI (YoY),Inflation,inflation,monthly,43.00,45.03,False,True,,"[""CPI""]",36,2020-03-12T12:30:00+00:00,2026-04-14T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
23,US,USD,umich_inflation_exp_1y,UMich 1Y Inflation Expectations,Inflation,inflation,monthly,19.00,18.00,False,True,,"[""CPI""]",3,2026-02-20T16:00:00+00:00,2026-04-10T14:00:00+00:00,2026-04-21T08:05:29.872986+00:00
24,US,USD,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,inflation,monthly,19.00,18.38,False,True,,"[""CPI""]",77,2020-03-13T14:00:00+00:00,2026-04-10T14:00:00+00:00,2026-04-21T08:05:29.872986+00:00
25,US,USD,import_prices_yoy,Import Prices (YoY),Inflation,inflation,monthly,45.00,48.09,False,True,,"[""CPI""]",38,2020-03-13T12:30:00+00:00,2026-04-15T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
26,US,USD,nfp,Non-Farm Payrolls,Labor,labor,monthly,35.00,37.62,True,False,,"[""UNEMPLOYMENT"", ""CPI""]",37,2020-03-06T13:30:00+00:00,2026-04-03T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
27,US,USD,unemployment_rate,Unemployment Rate,Labor,labor,monthly,34.50,37.63,True,False,UNEMPLOYMENT,"[""UNEMPLOYMENT"", ""CPI""]",36,2020-03-06T13:30:00+00:00,2026-04-03T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
28,US,USD,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Inflation,labor,monthly,35.00,36.97,True,True,,"[""CPI""]",36,2020-03-06T13:30:00+00:00,2026-04-03T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
29,US,USD,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Inflation,labor,monthly,34.50,37.63,False,True,,"[""CPI""]",37,2020-03-06T13:30:00+00:00,2026-04-03T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
30,US,USD,participation_rate,Labor Force Participation Rate,Labor,labor,monthly,35.00,37.62,False,True,,"[""UNEMPLOYMENT"", ""CPI""]",36,2020-03-06T13:30:00+00:00,2026-04-03T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
31,US,USD,u6_unemployment_rate,U-6 Underemployment Rate,Labor,labor,monthly,35.50,41.64,False,True,,"[""UNEMPLOYMENT"", ""CPI""]",13,2023-10-06T12:30:00+00:00,2026-04-03T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
32,US,USD,adp_employment_change,ADP Employment Change,Labor,labor,monthly,32.00,32.03,False,True,,"[""UNEMPLOYMENT"", ""CPI""]",35,2020-04-01T12:15:00+00:00,2026-04-01T12:15:00+00:00,2026-04-21T08:05:29.872986+00:00
33,US,USD,initial_jobless_claims,Initial Jobless Claims,Labor,labor,weekly,5.00,6.78,False,True,,"[""UNEMPLOYMENT"", ""CPI""]",180,2020-03-05T13:30:00+00:00,2026-04-30T12:30:00+00:00,2026-04-21T08:05:29.872986+00:00
34,US,USD,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,growth,monthly,31.00,30.82,True,False,,"[""GDP"", ""CPI"", ""UNEMPLOYMENT""]",33,2020-04-01T14:00:00+00:00,2026-05-01T14:00:00+00:00,2026-04-21T08:05:29.872986+00:00
35,US,USD,ism_manufacturing_prices,ISM Manufacturing Prices Paid,Inflation,growth,monthly,31.00,30.82,False,True,,"[""CPI""]",33,2020-04-01T14:00:00+00:00,2026-05-01T14:00:00+00:00,2026-04-21T08:05:29.872986+00:00
