flag_id,country_code,indicator_id_a,indicator_key_a,indicator_id_b,indicator_key_b,feature_name,observation_pairs,correlation,abs_correlation,recommended_action,processed_at
1,CA,155,employment_change,156,full_time_employment_change,standardized_surprise_score,74,0.999376,0.999376,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
2,CA,155,employment_change,157,part_time_employment_change,standardized_surprise_score,74,0.998406,0.998406,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
3,CA,156,full_time_employment_change,157,part_time_employment_change,standardized_surprise_score,74,0.996990,0.996990,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
4,US,28,avg_hourly_earnings_yoy,29,avg_hourly_earnings_mom,standardized_surprise_score,40,0.985445,0.985445,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
5,CA,375,services_pmi,376,composite_pmi,standardized_surprise_score,28,0.981257,0.981257,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
6,US,239,manufacturing_payrolls,240,private_nonfarm_payrolls,standardized_surprise_score,41,0.977591,0.977591,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
7,UK,72,core_rpi_mom,78,retail_price_index_mom,standardized_surprise_score,20,0.976957,0.976957,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
8,US,29,avg_hourly_earnings_mom,239,manufacturing_payrolls,standardized_surprise_score,41,-0.975444,0.975444,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
9,US,28,avg_hourly_earnings_yoy,239,manufacturing_payrolls,standardized_surprise_score,42,-0.974138,0.974138,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
10,US,39,sp_global_services_pmi,40,sp_global_composite_pmi,standardized_surprise_score,54,0.968169,0.968169,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
11,US,29,avg_hourly_earnings_mom,238,government_payrolls,standardized_surprise_score,41,-0.965800,0.965800,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
12,US,28,avg_hourly_earnings_yoy,238,government_payrolls,standardized_surprise_score,42,-0.965482,0.965482,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
13,US,26,nfp,240,private_nonfarm_payrolls,standardized_surprise_score,41,0.962554,0.962554,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
14,AU,123,producer_price_index_qoq,124,producer_price_index_yoy,standardized_surprise_score,23,0.960978,0.960978,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
15,US,238,government_payrolls,239,manufacturing_payrolls,standardized_surprise_score,43,0.951032,0.951032,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
16,UK,64,retail_sales_mom,86,retail_sales_ex_fuel_mom,standardized_surprise_score,72,0.950144,0.950144,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
17,UK,73,core_rpi_yoy,79,retail_price_index_yoy,standardized_surprise_score,22,0.947326,0.947326,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
18,US,29,avg_hourly_earnings_mom,240,private_nonfarm_payrolls,standardized_surprise_score,40,-0.945066,0.945066,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
19,AU,135,services_pmi,136,composite_pmi,standardized_surprise_score,93,0.944158,0.944158,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
20,EU,98,services_pmi,99,composite_pmi,standardized_surprise_score,27,0.942626,0.942626,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
21,US,28,avg_hourly_earnings_yoy,240,private_nonfarm_payrolls,standardized_surprise_score,40,-0.940374,0.940374,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
22,UK,49,cpi_headline_yoy,79,retail_price_index_yoy,standardized_surprise_score,76,0.937449,0.937449,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
23,US,26,nfp,239,manufacturing_payrolls,standardized_surprise_score,43,0.936704,0.936704,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
24,US,26,nfp,29,avg_hourly_earnings_mom,standardized_surprise_score,41,-0.935847,0.935847,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
25,US,26,nfp,238,government_payrolls,standardized_surprise_score,43,0.931145,0.931145,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
26,UK,50,cpi_headline_mom,72,core_rpi_mom,standardized_surprise_score,22,0.930519,0.930519,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
27,AU,119,rba_trimmed_mean_cpi_qoq,345,rba_weighted_median_cpi_qoq,standardized_surprise_score,25,0.929174,0.929174,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
28,CA,154,unemployment_rate,157,part_time_employment_change,standardized_surprise_score,74,-0.926420,0.926420,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
29,US,238,government_payrolls,240,private_nonfarm_payrolls,standardized_surprise_score,41,0.924884,0.924884,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
30,CA,154,unemployment_rate,156,full_time_employment_change,standardized_surprise_score,74,-0.923841,0.923841,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
31,CA,154,unemployment_rate,155,employment_change,standardized_surprise_score,74,-0.923634,0.923634,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
32,JP,194,leading_economic_index,256,leading_index_mom,standardized_surprise_score,27,0.923488,0.923488,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
33,US,26,nfp,28,avg_hourly_earnings_yoy,standardized_surprise_score,42,-0.923005,0.923005,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
34,US,27,unemployment_rate,31,u6_unemployment_rate,standardized_surprise_score,17,0.906164,0.906164,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
35,AU,117,cpi_headline_qoq,119,rba_trimmed_mean_cpi_qoq,standardized_surprise_score,22,0.896451,0.896451,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
36,CA,368,cpi_median_yoy,369,cpi_trimmed_mean_yoy,standardized_surprise_score,25,0.892216,0.892216,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
37,US,27,unemployment_rate,238,government_payrolls,standardized_surprise_score,41,-0.884089,0.884089,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
38,UK,49,cpi_headline_yoy,73,core_rpi_yoy,standardized_surprise_score,24,0.881025,0.881025,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
39,CA,165,ppi_yoy,211,gdp_mom,standardized_surprise_score,12,0.873899,0.873899,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
40,AU,115,cpi_headline_yoy,119,rba_trimmed_mean_cpi_qoq,standardized_surprise_score,24,0.872917,0.872917,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
41,AU,203,ai_group_manufacturing_index,205,ai_group_construction_index,standardized_surprise_score,37,0.872868,0.872868,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
42,US,27,unemployment_rate,239,manufacturing_payrolls,standardized_surprise_score,41,-0.871739,0.871739,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
43,JP,111,services_pmi,112,composite_pmi,standardized_surprise_score,138,0.867515,0.867515,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
44,UK,62,services_pmi,63,composite_pmi,standardized_surprise_score,46,0.866420,0.866420,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
45,UK,50,cpi_headline_mom,78,retail_price_index_mom,standardized_surprise_score,67,0.862670,0.862670,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
46,US,27,unemployment_rate,240,private_nonfarm_payrolls,standardized_surprise_score,40,-0.860105,0.860105,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
47,US,21,ppi_yoy,22,core_ppi_yoy,standardized_surprise_score,44,0.859634,0.859634,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
48,US,27,unemployment_rate,29,avg_hourly_earnings_mom,standardized_surprise_score,41,0.859442,0.859442,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
49,JP,266,eco_watchers_current,267,eco_watchers_outlook,standardized_surprise_score,77,0.853408,0.853408,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
50,AU,115,cpi_headline_yoy,345,rba_weighted_median_cpi_qoq,standardized_surprise_score,25,0.851753,0.851753,review_before_modeling_keep_higher_importance_or_broader_history,2026-04-25T22:23:27.971269+00:00
