relationship_id,country_code,currency_code,headline_target_type,headline_indicator_key,candidate_indicator_id,candidate_indicator_key,candidate_indicator_name,candidate_macro_theme,lag_months,observation_pairs,correlation,abs_correlation,rejection_reason,processed_at
1,AU,AUD,CPI,cpi_headline_yoy,117,cpi_headline_qoq,Headline CPI (QoQ),Inflation,6,23,0.507558,0.507558,low_sample,2026-04-25T22:25:54.019571+00:00
2,AU,AUD,CPI,cpi_headline_yoy,117,cpi_headline_qoq,Headline CPI (QoQ),Inflation,3,24,0.360640,0.360640,low_correlation,2026-04-25T22:25:54.019571+00:00
3,AU,AUD,CPI,cpi_headline_yoy,117,cpi_headline_qoq,Headline CPI (QoQ),Inflation,0,26,0.251806,0.251806,low_correlation,2026-04-25T22:25:54.019571+00:00
4,AU,AUD,CPI,cpi_headline_yoy,118,consumer_price_index,Consumer Price Index,Inflation,6,12,0.193288,0.193288,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
5,AU,AUD,CPI,cpi_headline_yoy,118,consumer_price_index,Consumer Price Index,Inflation,0,19,0.081954,0.081954,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
6,AU,AUD,CPI,cpi_headline_yoy,118,consumer_price_index,Consumer Price Index,Inflation,3,15,-0.003761,0.003761,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
7,AU,AUD,CPI,cpi_headline_yoy,119,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,6,23,0.627831,0.627831,low_sample,2026-04-25T22:25:54.019571+00:00
8,AU,AUD,CPI,cpi_headline_yoy,119,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,3,24,0.479443,0.479443,not_best_lag,2026-04-25T22:25:54.019571+00:00
9,AU,AUD,CPI,cpi_headline_yoy,119,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,0,22,0.360654,0.360654,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
10,AU,AUD,CPI,cpi_headline_yoy,120,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,6,23,0.821546,0.821546,low_sample,2026-04-25T22:25:54.019571+00:00
