weight_id,country_code,currency_code,macro_theme,headline_target_type,headline_indicator_id,headline_indicator_key,candidate_indicator_id,candidate_indicator_key,candidate_indicator_name,lag_months,observation_pairs,correlation,abs_correlation,sample_adjustment,multicollinearity_penalty,raw_weight,assigned_weight,signal_direction,confidence_bucket,processed_at
1,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,126,unemployment_rate,Unemployment Rate,0,24,-0.615905,0.615905,1.000000,1.000000,0.615905,0.063125,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
2,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,127,employment_change,Employment Change,0,24,0.759093,0.759093,1.000000,1.000000,0.759093,0.077800,1.000000,medium,2026-04-24T19:46:38.494302+00:00
3,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,128,full_time_employment_change,Full-Time Employment Change,0,24,0.546222,0.546222,1.000000,1.000000,0.546222,0.055983,1.000000,medium,2026-04-24T19:46:38.494302+00:00
4,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,129,part_time_employment_change,Part-Time Employment Change,0,24,0.735811,0.735811,1.000000,1.000000,0.735811,0.075414,1.000000,medium,2026-04-24T19:46:38.494302+00:00
5,AU,AUD,Inflation,CPI,115,cpi_headline_yoy,131,leading_index_mom,Leading Index (MoM),1,29,0.453764,0.453764,1.000000,1.000000,0.453764,0.046507,1.000000,medium,2026-04-24T19:46:38.494302+00:00
6,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,132,private_sector_credit_mom,Private Sector Credit (MoM),1,24,-0.668259,0.668259,1.000000,1.000000,0.668259,0.068491,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
7,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,134,manufacturing_pmi,Manufacturing PMI,2,34,-0.620149,0.620149,1.000000,1.000000,0.620149,0.063560,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
8,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,135,services_pmi,Services PMI,1,33,0.625528,0.625528,1.000000,0.650000,0.406593,0.041672,1.000000,medium,2026-04-24T19:46:38.494302+00:00
9,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,136,composite_pmi,Composite PMI,1,30,0.578416,0.578416,1.000000,0.650000,0.375970,0.038534,1.000000,medium,2026-04-24T19:46:38.494302+00:00
10,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,199,retail_sales_mom,Retail Sales (MoM),1,36,-0.524058,0.524058,1.000000,1.000000,0.524058,0.053711,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
11,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,200,building_permits,Building Permits,6,33,-0.431706,0.431706,1.000000,1.000000,0.431706,0.044246,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
12,AU,AUD,Inflation,CPI,115,cpi_headline_yoy,201,td_mi_inflation_gauge_mom,TD-MI Inflation Gauge (MoM),5,28,0.473854,0.473854,1.000000,1.000000,0.473854,0.048566,1.000000,medium,2026-04-24T19:46:38.494302+00:00
13,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,345,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),0,26,0.699277,0.699277,1.000000,0.650000,0.454530,0.046585,1.000000,medium,2026-04-24T19:46:38.494302+00:00
14,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,346,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),6,24,0.646839,0.646839,1.000000,1.000000,0.646839,0.066295,1.000000,medium,2026-04-24T19:46:38.494302+00:00
15,AU,AUD,Inflation,CPI,115,cpi_headline_yoy,351,westpac_consumer_confidence_change,Westpac Consumer Confidence Change,5,29,-0.479864,0.479864,1.000000,1.000000,0.479864,0.049182,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
16,AU,AUD,Inflation,CPI,115,cpi_headline_yoy,352,westpac_consumer_confidence_index,Westpac Consumer Confidence Index,5,29,-0.590551,0.590551,1.000000,1.000000,0.590551,0.060526,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
17,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,363,balance_of_trade,Balance of Trade,1,24,-0.536876,0.536876,1.000000,1.000000,0.536876,0.055025,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
18,AU,AUD,Inflation,CPI,117,cpi_headline_qoq,364,exports_mom,Exports (MoM),3,24,0.436899,0.436899,1.000000,1.000000,0.436899,0.044778,1.000000,medium,2026-04-24T19:46:38.494302+00:00
19,AU,AUD,Labor,UNEMPLOYMENT,126,unemployment_rate,354,housing_credit_mom,Housing Credit (MoM),3,36,0.489216,0.489216,1.000000,1.000000,0.489216,0.516684,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
20,AU,AUD,Labor,UNEMPLOYMENT,126,unemployment_rate,361,corelogic_dwelling_prices_mom,CoreLogic Dwelling Prices (MoM),6,30,-0.457621,0.457621,1.000000,1.000000,0.457621,0.483316,1.000000,medium,2026-04-24T19:46:38.494302+00:00
21,CA,CAD,Growth,GDP,211,gdp_mom,164,manufacturing_sales_mom,Manufacturing Sales (MoM),0,122,0.568683,0.568683,1.000000,1.000000,0.568683,0.117025,1.000000,high,2026-04-24T19:46:38.494302+00:00
22,CA,CAD,Growth,GDP,211,gdp_mom,169,retail_sales_yoy,Retail Sales (YoY),0,59,0.538980,0.538980,1.000000,1.000000,0.538980,0.110913,1.000000,medium,2026-04-24T19:46:38.494302+00:00
23,CA,CAD,Growth,GDP,211,gdp_mom,170,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),0,58,0.747905,0.747905,1.000000,1.000000,0.747905,0.153906,1.000000,high,2026-04-24T19:46:38.494302+00:00
24,CA,CAD,Growth,GDP,211,gdp_mom,210,retail_sales_mom,Retail Sales (MoM),3,106,-0.696465,0.696465,1.000000,1.000000,0.696465,0.143321,-1.000000,high,2026-04-24T19:46:38.494302+00:00
25,CA,CAD,Growth,GDP,211,gdp_mom,212,wholesale_sales_mom,Wholesale Sales (MoM),0,133,0.497381,0.497381,1.000000,1.000000,0.497381,0.102353,1.000000,medium,2026-04-24T19:46:38.494302+00:00
26,CA,CAD,Growth,GDP,211,gdp_mom,213,imports,Imports,0,58,0.714797,0.714797,1.000000,1.000000,0.714797,0.147093,1.000000,high,2026-04-24T19:46:38.494302+00:00
27,CA,CAD,Growth,GDP,211,gdp_mom,214,exports,Exports,0,58,0.610694,0.610694,1.000000,1.000000,0.610694,0.125671,1.000000,high,2026-04-24T19:46:38.494302+00:00
28,CA,CAD,Growth,GDP,211,gdp_mom,371,ivey_pmi_sa,Ivey PMI s.a.,3,91,-0.484577,0.484577,1.000000,1.000000,0.484577,0.099718,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
29,CA,CAD,Inflation,CPI,159,cpi_headline_mom,152,cpi_headline_yoy,Headline CPI (YoY),0,76,0.418482,0.418482,1.000000,1.000000,0.418482,0.173313,1.000000,medium,2026-04-24T19:46:38.494302+00:00
30,CA,CAD,Inflation,CPI,152,cpi_headline_yoy,153,core_cpi_yoy,Core CPI (YoY),6,72,0.414448,0.414448,1.000000,1.000000,0.414448,0.171642,1.000000,medium,2026-04-24T19:46:38.494302+00:00
31,CA,CAD,Inflation,CPI,159,cpi_headline_mom,160,core_cpi_mom,Core CPI (MoM),0,41,0.514777,0.514777,1.000000,1.000000,0.514777,0.213193,1.000000,medium,2026-04-24T19:46:38.494302+00:00
32,CA,CAD,Inflation,CPI,152,cpi_headline_yoy,165,ppi_yoy,PPI (YoY),0,27,-0.610777,0.610777,1.000000,0.650000,0.397005,0.164418,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
33,CA,CAD,Inflation,CPI,152,cpi_headline_yoy,213,imports,Imports,6,73,0.403776,0.403776,1.000000,1.000000,0.403776,0.167222,1.000000,medium,2026-04-24T19:46:38.494302+00:00
34,CA,CAD,Inflation,CPI,152,cpi_headline_yoy,375,services_pmi,Services PMI,2,30,0.409414,0.409414,1.000000,0.650000,0.266119,0.110212,1.000000,medium,2026-04-24T19:46:38.494302+00:00
35,CA,CAD,Labor,UNEMPLOYMENT,154,unemployment_rate,155,employment_change,Employment Change,2,72,-0.463277,0.463277,1.000000,0.650000,0.301130,0.134216,1.000000,medium,2026-04-24T19:46:38.494302+00:00
36,CA,CAD,Labor,UNEMPLOYMENT,154,unemployment_rate,156,full_time_employment_change,Full-Time Employment Change,2,72,-0.455037,0.455037,1.000000,0.650000,0.295774,0.131829,1.000000,medium,2026-04-24T19:46:38.494302+00:00
37,CA,CAD,Labor,UNEMPLOYMENT,154,unemployment_rate,157,part_time_employment_change,Part-Time Employment Change,2,72,-0.458645,0.458645,1.000000,0.650000,0.298119,0.132874,1.000000,medium,2026-04-24T19:46:38.494302+00:00
38,CA,CAD,Labor,UNEMPLOYMENT,154,unemployment_rate,210,retail_sales_mom,Retail Sales (MoM),2,81,-0.458848,0.458848,1.000000,1.000000,0.458848,0.204513,1.000000,medium,2026-04-24T19:46:38.494302+00:00
39,CA,CAD,Labor,UNEMPLOYMENT,154,unemployment_rate,211,gdp_mom,GDP (MoM),2,93,-0.495928,0.495928,1.000000,0.650000,0.322353,0.143676,1.000000,medium,2026-04-24T19:46:38.494302+00:00
40,CA,CAD,Labor,UNEMPLOYMENT,154,unemployment_rate,213,imports,Imports,2,73,-0.567393,0.567393,1.000000,1.000000,0.567393,0.252892,1.000000,high,2026-04-24T19:46:38.494302+00:00
41,CH,CHF,Inflation,CPI,381,cpi_headline_mom,172,cpi_headline_yoy,Headline CPI (YoY),0,54,0.401740,0.401740,1.000000,1.000000,0.401740,0.460834,1.000000,medium,2026-04-24T19:46:38.494302+00:00
42,CH,CHF,Inflation,CPI,172,cpi_headline_yoy,173,unemployment_rate,Unemployment Rate,6,66,-0.470027,0.470027,1.000000,1.000000,0.470027,0.539166,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
43,EU,EUR,Growth,GDP,91,gdp_qoq,94,construction_output_yoy,Construction Output (YoY),3,52,-0.471297,0.471297,1.000000,1.000000,0.471297,0.184660,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
44,EU,EUR,Growth,GDP,91,gdp_qoq,95,zew_economic_sentiment,ZEW Economic Sentiment Index,4,52,-0.585147,0.585147,1.000000,1.000000,0.585147,0.229268,-1.000000,high,2026-04-24T19:46:38.494302+00:00
45,EU,EUR,Growth,GDP,91,gdp_qoq,96,consumer_confidence,Consumer Confidence,3,98,-0.407127,0.407127,1.000000,1.000000,0.407127,0.159518,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
46,EU,EUR,Growth,GDP,91,gdp_qoq,97,manufacturing_pmi,Manufacturing PMI,0,90,0.438019,0.438019,1.000000,1.000000,0.438019,0.171621,1.000000,medium,2026-04-24T19:46:38.494302+00:00
47,EU,EUR,Growth,GDP,91,gdp_qoq,189,economic_sentiment,Economic Sentiment,3,64,-0.650649,0.650649,1.000000,1.000000,0.650649,0.254933,-1.000000,high,2026-04-24T19:46:38.494302+00:00
48,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,89,core_cpi_yoy,Core HICP (YoY),5,247,0.503680,0.503680,1.000000,1.000000,0.503680,0.132200,1.000000,medium,2026-04-24T19:46:38.494302+00:00
49,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,90,unemployment_rate,Unemployment Rate,5,130,-0.401232,0.401232,1.000000,1.000000,0.401232,0.105311,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
50,EU,EUR,Inflation,CPI,187,cpi_headline_mom,91,gdp_qoq,GDP (QoQ),5,105,-0.410129,0.410129,1.000000,1.000000,0.410129,0.107646,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
51,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,93,construction_output_mom,Construction Output (MoM),5,26,0.620410,0.620410,1.000000,1.000000,0.620410,0.162838,1.000000,medium,2026-04-24T19:46:38.494302+00:00
52,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,97,manufacturing_pmi,Manufacturing PMI,4,207,-0.409074,0.409074,1.000000,1.000000,0.409074,0.107369,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
53,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,98,services_pmi,Services PMI,4,40,-0.442574,0.442574,1.000000,0.650000,0.287673,0.075505,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
54,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,99,composite_pmi,Composite PMI,4,40,-0.460976,0.460976,1.000000,0.650000,0.299634,0.078645,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
