central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,importance
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,target_current,0.07760671973133706
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_mom_ma6,0.037074992351103425
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,new_housing_price_index_yoy_lag1,0.034749796908905145
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,balance_of_trade_lag1,0.03208098411798211
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_mom_ma6,0.031387197906378714
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,balance_of_trade_lag3,0.026126761442674767
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,manufacturing_pmi_ma3,0.024084842447408196
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,unemployment_rate_lag1,0.023216269376340914
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,target_lag1,0.022946221193664372
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,manufacturing_pmi_lag1,0.022626256881775834
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,manufacturing_pmi_lag6,0.0211502309990007
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_yoy_lag3,0.02081770803612379
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_yoy_ma6,0.020782885173949935
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_ma6,0.02059178958336591
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,retail_sales_yoy_lag6,0.019618648864306098
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,new_housing_price_index_yoy_ma6,0.01907529978118153
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_ma6,0.01895375322114493
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,retail_sales_yoy_lag1,0.01853358049311075
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cfib_business_barometer_lag1,0.017983641790018882
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,raw_materials_prices_mom_ma3,0.016733794651203726
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_yoy_lag6,0.016623565519738148
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,budget_balance_ma6,0.016028087421620898
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,budget_balance_ma3,0.015981767513975863
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,exports_lag6,0.01586580336386971
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,exports_lag1,0.01558813838211729
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_mom_lag6,0.015443756091134174
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,new_housing_price_index_yoy_lag6,0.015436177746952
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,new_housing_price_index_yoy_ma3,0.015064800946296555
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,new_housing_price_index_yoy_lag3,0.014645465937411815
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,target_ma3,0.013327536547364105
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_lag1,0.013026880659801284
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,retail_sales_yoy_ma6,0.01282458192372342
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_lag1,0.012762718102474428
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,unemployment_rate_ma6,0.012433830087641417
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cfib_business_barometer_ma6,0.012205744013801109
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,manufacturing_pmi_ma6,0.012127858069014794
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_mom_lag1,0.012048617977499206
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_ma3,0.011590507313805187
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_lag1_x_ppi_yoy_lag3,0.01148292186546038
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,raw_materials_prices_mom_lag6,0.011256171573692525
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,unemployment_rate_ma3,0.01094235607388542
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,exports_ma6,0.010772724829121713
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,balance_of_trade_ma3,0.01058962212423374
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,raw_materials_prices_mom_ma6,0.010547175302569121
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,retail_sales_yoy_ma3,0.009501227105523856
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_mom_lag6,0.00937654478755024
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,unemployment_rate_lag6,0.009307406201736807
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_yoy_lag1,0.009068745687777711
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_mom_ma3,0.00875623709295532
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_mom_ma3,0.008164070113646595
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cfib_business_barometer_lag3,0.008143101952342614
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_lag3,0.007999178928919472
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_ma3,0.007675051231019393
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,balance_of_trade_ma6,0.006917301753265747
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_lag6,0.006512067396540435
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_lag6,0.006473117214020081
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_yoy_ma3,0.006377192950546759
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cfib_business_barometer_lag6,0.005628997311191593
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_lag3,0.005292860185138889
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_mom_lag3,0.004410926132996261
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,budget_balance_lag3,0.004393231612802343
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,budget_balance_lag6,0.0033342506518620318
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,raw_materials_prices_mom_lag3,0.0031571411158353817
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_mom_lag3,0.0031173006004808633
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,unemployment_rate_lag3,0.0030776576621429756
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,exports_lag3,0.0029855002398001245
