central_bank_code,target_family,target_indicator_key,target_indicator,feature_indicator_key,feature_indicator,feature_category,observations,same_category,lag_score,correlation_score,pca_score,selected_lag,selection_reason,selection_score
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ppi_yoy,PPI (YoY),Inflation,76,True,0.8856910770431676,0.566832381065192,0.2850960545906697,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.8563751071775836
BOC,inflation,core_cpi_yoy,Core CPI (YoY),core_cpi_mom,Core CPI (MoM),Inflation,45,True,0.5274662104307427,0.3815391131756948,0.3347891241472648,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.6082898972686324
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cpi_headline_yoy,Headline CPI (YoY),Inflation,76,True,0.0,0.95796432453151,0.3886655144833463,1,"correlated_with_target,pca_driver,same_macro_theme",0.5906891245319549
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cpi_headline_mom,Headline CPI (MoM),Inflation,72,True,0.3997886581826105,0.2838891493617418,0.1987183854875247,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.534879398813826
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ppi_mom,PPI (MoM),Inflation,73,True,0.3828952790855328,0.011573848290947,0.0,6,"lag_relationship,correlated_with_target,same_macro_theme",0.41702503007577385
BOC,inflation,core_cpi_yoy,Core CPI (YoY),raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,75,True,0.1684182764428581,0.1684182764428579,0.217349393707546,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.40266611638827543
BOC,inflation,core_cpi_yoy,Core CPI (YoY),unemployment_rate,Unemployment Rate,Labor,76,False,0.0,0.6459093791012586,0.3419538347147182,1,"correlated_with_target,pca_driver",0.34006588893758527
BOC,inflation,core_cpi_yoy,Core CPI (YoY),exports,Exports,Trade,76,False,0.0,0.5037036376149876,0.2886449814289138,1,"correlated_with_target,pca_driver",0.28940783849883334
BOC,inflation,core_cpi_yoy,Core CPI (YoY),balance_of_trade,Balance of Trade,Trade,76,False,0.0,0.5091802690711108,0.2338486366816714,1,"correlated_with_target,pca_driver",0.2828313762235839
BOC,inflation,core_cpi_yoy,Core CPI (YoY),manufacturing_pmi,Manufacturing PMI,Growth,49,False,0.0,0.46503625836244,0.3679183096955488,1,"correlated_with_target,pca_driver",0.25594862396306434
BOC,inflation,core_cpi_yoy,Core CPI (YoY),new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,63,False,0.0,0.4310467450404197,0.2951192593948749,1,"correlated_with_target,pca_driver",0.2523319124213571
BOC,inflation,core_cpi_yoy,Core CPI (YoY),budget_balance,Budget Balance,Growth,74,False,0.0,0.3962471564923602,0.2516379907446192,1,"correlated_with_target,pca_driver",0.24911984555940092
BOC,inflation,core_cpi_yoy,Core CPI (YoY),retail_sales_yoy,Retail Sales (YoY),Growth,74,False,0.0,0.223440161976515,0.1666807823077939,1,"correlated_with_target,pca_driver",0.18453416593912358
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cfib_business_barometer,CFIB Business Barometer,Sentiment,55,False,0.0,0.2421797536257251,0.2645266355697165,1,"correlated_with_target,pca_driver",0.181082921423175
BOC,gdp_growth,gdp_mom,GDP (MoM),manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,75,True,0.9174787505075284,0.917478750507529,0.2961141172266595,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.9762761804646455
BOC,gdp_growth,gdp_mom,GDP (MoM),wholesale_sales_mom,Wholesale Sales (MoM),Growth,80,True,0.8489873730529127,0.8489873730529134,0.2825079123473913,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.9291167166417933
BOC,gdp_growth,gdp_mom,GDP (MoM),retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,72,True,0.8056575920804453,0.8056575920804453,0.2768860914433692,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.8857761077768392
BOC,gdp_growth,gdp_mom,GDP (MoM),ivey_pmi_sa,Ivey PMI s.a.,Growth,72,True,0.5193426799809946,0.5193426799809948,0.2313669662300276,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.6642120549202502
BOC,gdp_growth,gdp_mom,GDP (MoM),new_motor_vehicle_sales,New Motor Vehicle Sales,Growth,76,True,0.343781814624465,0.3437818146244655,0.2015110234135562,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.5330630144803823
