central_bank_code,target_family,target_indicator_key,target_indicator,model,split,feature_date,forecast_horizon_periods,actual,prediction,error
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-04-01,1,-0.7337964791702992,-0.866736961689829,0.13294048251952983
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-05-01,1,-0.6673262379105345,-0.7337964791702992,0.06647024125976475
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-06-01,1,-0.8002667204300642,-0.6673262379105345,-0.13294048251952972
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-07-01,1,-0.933207202949594,-0.8002667204300642,-0.13294048251952983
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-08-01,1,-0.866736961689829,-0.933207202949594,0.06647024125976497
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-09-01,1,-0.8002667204300642,-0.866736961689829,0.06647024125976486
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-10-01,1,-0.866736961689829,-0.8002667204300642,-0.06647024125976486
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-11-01,1,-0.7337964791702992,-0.866736961689829,0.13294048251952983
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2024-12-01,1,-0.5343857553910045,-0.7337964791702992,0.1994107237792947
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2025-01-01,1,-0.135564307832415,-0.5343857553910045,0.3988214475585895
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2025-02-01,1,-0.4679155141312395,-0.135564307832415,-0.33235120629882453
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,2025-03-01,1,-0.2685047903519449,-0.4679155141312395,0.19941072377929459
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,test,2025-04-01,1,-0.2685047903519449,-0.2685047903519449,0.0
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,test,2025-05-01,1,-0.135564307832415,-0.2685047903519449,0.13294048251952992
