central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,scenario,baseline_prediction,scenario_prediction,prediction_delta
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag1,positive_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag1,negative_1sd,-0.737038616616844,-0.7136897483270963,0.023348868289747693
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag1,stress_2sd,-0.737038616616844,-0.7516390481803066,-0.01460043156346258
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag3,positive_1sd,-0.737038616616844,-0.7132496993326057,0.023788917284238265
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag3,negative_1sd,-0.737038616616844,-0.6781979360177438,0.05884068059910019
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag3,stress_2sd,-0.737038616616844,-0.7132496993326057,0.023788917284238265
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag6,positive_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag6,negative_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_lag6,stress_2sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_ma3,positive_1sd,-0.737038616616844,-0.741298991459024,-0.004260374842180004
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_ma3,negative_1sd,-0.737038616616844,-0.4714964146729338,0.2655422019439102
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_ma3,stress_2sd,-0.737038616616844,-0.741298991459024,-0.004260374842180004
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_ma6,positive_1sd,-0.737038616616844,-0.7044287631451158,0.03260985347172818
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_ma6,negative_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_headline_yoy_ma6,stress_2sd,-0.737038616616844,-0.7044287631451158,0.03260985347172818
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag1,positive_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag1,negative_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag1,stress_2sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag3,positive_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag3,negative_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag3,stress_2sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag6,positive_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag6,negative_1sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_lag6,stress_2sd,-0.737038616616844,-0.737038616616844,0.0
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,coincident_index_ma3,positive_1sd,-0.737038616616844,-0.737038616616844,0.0
