decision_date,country,rate,rate_change,direction,Australia Unemployment Rate,Reserve Bank of Australia (RBA) Interest Rate Decision,Australia Gross Domestic Product (GDP) q_q,Australia Gross Domestic Product (GDP) y_y,Westpac-MI Australia Consumer Sentiment m_m,Australia Exports m_m,Australia Imports m_m,Australia Participation Rate,S&P Global Australia Manufacturing Purchasing Managers Index (PMI),S&P Global Australia Services Purchasing Managers Index (PMI),S&P Global Australia Composite Purchasing Managers Index (PMI),Bank of Canada (BoC) Interest Rate Decision,Canada Retail Sales m_m,Canada Gross Domestic Product (GDP) m_m,Canada Consumer Price Index (CPI) m_m,Canada Core Consumer Price Index (CPI) m_m,Canada Core Consumer Price Index (CPI) y_y,Canada Core Retail Sales m_m,Canada Manufacturing Purchasing Managers Index (PMI),Canada Consumer Price Index (CPI) y_y,Canada Gross Domestic Product (GDP) y_y,Canada Industrial Product Price Index (IPPI) m_m,Canada Industrial Product Price Index (IPPI) y_y,Canada Raw Materials Price Index (RMPI) m_m,Canada Raw Materials Price Index (RMPI) y_y,Average hourly wages Permanent employee,Swiss National Bank (SNB) Interest Rate Decision,Switzerland Unemployment Rate,Switzerland Consumer Price Index (CPI) y_y,Switzerland Consumer Price Index (CPI) m_m,Switzerland Manufacturing Purchasing Managers Index (PMI),Switzerland Producer Price Index (PPI) y_y,Switzerland Retail Sales y_y,Switzerland Producer Price Index (PPI) m_m,Switzerland Unemployment Rate n.s.a_,Bank of England (BoE) Interest Rate Decision,S&P Global United Kingdom Construction Purchasing Managers Index (PMI)(1),Nationwide United Kingdom House Price Index (HPI) y_y,United Kingdom Gross Domestic Product (GDP) q_q,S&P Global United Kingdom Construction Purchasing Managers Index (PMI),Nationwide United Kingdom House Price Index (HPI) m_m,Bank of England (BoE) Monetary Policy Committee (MPC) Vote Hike,Bank of England (BoE) Monetary Policy Committee (MPC) Vote Unchanged,Untitled spBank of England (BoE) Monetary Policy Committee (MPC) Vote Cutreadsheet,United Kingdom Gross Domestic Product (GDP) y_y,S&P Global United Kingdom Manufacturing Purchasing Managers Index (PMI),S&P Global United Kingdom Services Purchasing Managers Index (PMI),S&P Global United Kingdom Composite Purchasing Managers Index (PMI),Fed Interest Rate Decision,U.S. Unit Labor Costs QoQ,U.S. Core PCE Prices,U.S. PCE Price index YoY,U.S. PCE Price index YoY(1),U.S. PCE price index,U.S. PCE price index MoM
2007-06-05,Australia,0.0625,,Hold,0.044,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-03,Australia,0.0625,0.0,Hold,0.043,0.0625,0.016,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-07,Australia,0.065,0.0025000000000000022,Hike,0.043,0.065,0.016,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-04,Australia,0.065,0.0,Hold,0.043,0.065,0.007,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10-02,Australia,0.065,0.0,Hold,0.043,0.065,0.007,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-11-06,Australia,0.0675,0.0025000000000000022,Hike,0.042,0.0675,0.007,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-04,Australia,0.0675,0.0,Hold,0.044,0.0675,0.007,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,Australia,0.0675,0.0,Hold,0.045,0.0675,0.01,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-05,Australia,0.07,0.0025000000000000022,Hike,0.043,0.07,0.01,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-04,Australia,0.0725,0.0024999999999999883,Hike,0.042,0.0725,0.01,0.043,-0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,Australia,0.0725,0.0,Hold,0.04,0.0725,0.007,0.039,-0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-06,Australia,0.0725,0.0,Hold,0.04,0.0725,0.007,0.039,-0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-03,Australia,0.0725,0.0,Hold,0.042,0.0725,0.007,0.039,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,Australia,0.0725,0.0,Hold,0.043,0.0725,0.006,0.036,-0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-05,Australia,0.0725,0.0,Hold,0.042,0.0725,0.006,0.036,-0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-02,Australia,0.07,-0.0024999999999999883,Cut,0.042,0.07,0.006,0.036,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-07,Australia,0.06,-0.010000000000000009,Cut,0.041,0.06,0.003,0.027,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-04,Australia,0.0525,-0.0075,Cut,0.043,0.0525,0.003,0.027,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-02,Australia,0.0425,-0.009999999999999995,Cut,0.044,0.0425,0.003,0.027,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-03,Australia,0.0325,-0.010000000000000002,Cut,0.046,0.0325,0.001,0.029,-0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-03,Australia,0.0325,0.0,Hold,0.049,0.0325,0.001,0.029,-0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-07,Australia,0.03,-0.0025000000000000022,Cut,0.054,0.03,-0.01,0.011,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-05,Australia,0.03,0.0,Hold,0.057,0.03,-0.01,0.011,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-02,Australia,0.03,0.0,Hold,0.054,0.03,-0.01,0.011,-0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-07,Australia,0.03,0.0,Hold,0.058,0.03,0.01,0.01,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-04,Australia,0.03,0.0,Hold,0.058,0.03,0.01,0.01,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-01,Australia,0.03,0.0,Hold,0.057,0.03,0.01,0.01,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-06,Australia,0.0325,0.0025000000000000022,Hike,0.058,0.0325,0.003,0.008,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-03,Australia,0.035,0.0025000000000000022,Hike,0.058,0.035,0.003,0.008,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,Australia,0.0375,0.0024999999999999953,Hike,0.058,0.0375,0.003,0.008,-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-02,Australia,0.0375,0.0,Hold,0.056,0.0375,0.006,0.009,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-02,Australia,0.04,0.0025000000000000022,Hike,0.053,0.04,0.006,0.009,-0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-06,Australia,0.0425,0.0025000000000000022,Hike,0.053,0.0425,0.006,0.026,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-04,Australia,0.045,0.0024999999999999953,Hike,0.054,0.045,0.006,0.026,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01,Australia,0.045,0.0,Hold,0.054,0.045,0.006,0.026,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-06,Australia,0.045,0.0,Hold,0.052,0.045,0.007,0.023,-0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-03,Australia,0.045,0.0,Hold,0.051,0.045,0.007,0.023,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-07,Australia,0.045,0.0,Hold,0.053,0.045,0.011,0.031,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-05,Australia,0.045,0.0,Hold,0.051,0.045,0.011,0.031,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-02,Australia,0.0475,0.0025000000000000022,Hike,0.051,0.0475,0.011,0.031,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-07,Australia,0.0475,0.0,Hold,0.054,0.0475,0.001,0.027,-0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-01,Australia,0.0475,0.0,Hold,0.05,0.0475,0.001,0.027,-0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-01,Australia,0.0475,0.0,Hold,0.05,0.0475,0.001,0.027,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-05,Australia,0.0475,0.0,Hold,0.05,0.0475,0.008,0.027,-0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-03,Australia,0.0475,0.0,Hold,0.049,0.0475,0.008,0.027,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-07,Australia,0.0475,0.0,Hold,0.049,0.0475,-0.009,0.01,-0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-05,Australia,0.0475,0.0,Hold,0.049,0.0475,-0.009,0.01,-0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-02,Australia,0.0475,0.0,Hold,0.049,0.0475,-0.009,0.01,-0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-06,Australia,0.0475,0.0,Hold,0.051,0.0475,-0.009,0.01,-0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-04,Australia,0.0475,0.0,Hold,0.053,0.0475,0.014,0.019,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,Australia,0.045,-0.0025000000000000022,Cut,0.052,0.045,0.014,0.019,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-06,Australia,0.0425,-0.0024999999999999953,Cut,0.052,0.0425,0.014,0.019,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-07,Australia,0.0425,0.0,Hold,0.052,0.0425,0.008,0.025,0.024,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-06,Australia,0.0425,0.0,Hold,0.051,0.0425,0.008,0.025,0.042,0.02,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-03,Australia,0.0425,0.0,Hold,0.052,0.0425,0.006,0.023,-0.05,-0.08,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
