signal_date,central_bank_code,country_code,currency,strength_score,strength_label,available_indicators,available_weight_share,latest_release_timestamp,no_lookahead
2020-01-31,BOC,CA,CAD,-0.2309402329165654,neutral,8,0.6901617371387323,2020-01-24T13:30:00+00:00,True
2020-01-31,BOE,UK,GBP,-0.5774738672466984,bearish,11,0.9351117949075824,2020-01-22T11:00:00+00:00,True
2020-01-31,BOJ,JP,JPY,-0.6297296015421981,bearish,10,0.8652647185838163,2020-01-30T23:50:00+00:00,True
2020-01-31,ECB,EU,EUR,-0.4394966936501563,bearish,9,0.8953265735105473,2020-01-30T10:00:00+00:00,True
2020-01-31,RBA,AU,AUD,-0.607648031654602,bearish,9,0.741462230650488,2020-01-29T00:30:00+00:00,True
2020-01-31,RBNZ,NZ,NZD,-0.5616765753048804,bearish,6,0.46159521009537735,2020-01-29T21:45:00+00:00,True
2020-01-31,SNB,CH,CHF,-0.011082857581207625,neutral,7,0.8064545532352313,2020-01-29T09:00:00+00:00,True
2020-02-29,BOC,CA,CAD,-0.1302520413002754,neutral,9,0.7721293903217152,2020-02-28T13:30:00+00:00,True
2020-02-29,BOE,UK,GBP,-0.658049604736042,bearish,12,1.0,2020-02-20T11:00:00+00:00,True
2020-02-29,BOJ,JP,JPY,-0.5076991772974037,bearish,10,0.8652647185838164,2020-02-27T23:50:00+00:00,True
2020-02-29,ECB,EU,EUR,-0.6523581465760663,bearish,9,0.8953265735105475,2020-02-27T10:00:00+00:00,True
2020-02-29,RBA,AU,AUD,-0.7087144496587939,bearish,11,0.9315780386703744,2020-02-13T00:00:00+00:00,True
2020-02-29,RBNZ,NZ,NZD,-0.43384514535298446,bearish,10,0.8870984960586085,2020-02-27T00:00:00+00:00,True
2020-02-29,SNB,CH,CHF,-0.2787590739608789,bearish,10,0.9430458372123236,2020-02-28T07:30:00+00:00,True
2020-03-31,BOC,CA,CAD,-0.1794108523701207,neutral,9,0.7721293903217152,2020-03-20T12:30:00+00:00,True
2020-03-31,BOE,UK,GBP,-0.5676120431355456,bearish,12,1.0,2020-03-25T07:00:00+00:00,True
2020-03-31,BOJ,JP,JPY,-0.78979558417364,strong_bearish,10,0.8652647185838163,2020-03-30T23:50:00+00:00,True
2020-03-31,ECB,EU,EUR,-0.18248596393699743,neutral,9,0.8953265735105473,2020-03-30T09:00:00+00:00,True
2020-03-31,FED,US,USD,-0.46637272737822644,bearish,10,0.8413714165251541,2020-03-27T12:30:00+00:00,True
2020-03-31,RBA,AU,AUD,-0.7296702327679567,bearish,11,0.9315780386703744,2020-03-12T00:00:00+00:00,True
2020-03-31,RBNZ,NZ,NZD,-0.5100111497116326,bearish,10,0.8870984960586085,2020-03-31T00:00:00+00:00,True
2020-03-31,SNB,CH,CHF,-0.10181146325510498,neutral,11,1.0,2020-03-25T09:00:00+00:00,True
2020-04-30,BOC,CA,CAD,-1.5898101612718032,strong_bearish,9,0.7721293903217152,2020-04-22T12:30:00+00:00,True
2020-04-30,BOE,UK,GBP,-0.6915507925030518,bearish,12,1.0,2020-04-23T10:00:00+00:00,True
2020-04-30,BOJ,JP,JPY,-1.4645943718996914,strong_bearish,12,1.0,2020-04-29T23:50:00+00:00,True
2020-04-30,ECB,EU,EUR,-0.5963418127194913,bearish,9,0.8953265735105472,2020-04-29T09:00:00+00:00,True
2020-04-30,FED,US,USD,-0.6525115521246232,bearish,12,1.0,2020-04-10T12:30:00+00:00,True
